cliente_id,recencia_dias,frequencia,monetario,score_r,score_f,score_m
10510,1390,1,2019.6,1,1,1
5080,1390,2,17350.85,1,2,3
2009,1390,2,22552.83,1,2,3
4749,1389,1,7904.49,1,1,1
6609,1389,1,14371.07,1,1,2
1695,1388,1,6977.97,1,1,1
9762,1388,1,7678.04,1,1,1
6205,1388,1,8161.9,1,1,1
9402,1387,1,10828.38,1,1,2
7488,1386,1,5050.88,1,1,1
6149,1386,2,6968.65,1,1,1
11674,1386,3,10524.24,1,2,2
11460,1385,1,3418.1,1,1,1
8875,1384,1,4854.34,1,1,1
8153,1383,1,4802.52,1,1,1
1948,1383,2,6175.73,1,1,1
8131,1383,2,7760.26,1,1,1
3203,1383,2,8821.51,1,1,1
362,1381,1,4796.88,1,1,1
7681,1381,2,10887.18,1,1,2
3628,1380,2,2656.97,1,1,1
5428,1380,2,15450.22,1,2,2
10778,1380,2,16526.74,1,2,3
3208,1378,1,2567.34,1,1,1
4794,1377,1,1060.38,1,1,1
1392,1377,2,6892.31,1,1,1
4047,1376,1,1266.74,1,1,1
4210,1375,1,1287.05,1,1,1
6802,1375,1,1556.55,1,1,1
10526,1375,3,27000.89,1,3,4
7252,1372,1,591.24,1,1,1
9649,1372,1,6537.92,1,1,1
1775,1371,1,14709.65,1,1,2
776,1371,2,4291.15,1,1,1
4470,1370,1,4984.23,1,1,1
8899,1370,3,12912.44,1,2,2
11873,1369,1,5953.05,1,1,1
4777,1368,1,1807.11,1,1,1
7973,1368,1,2907.84,1,1,1
1478,1368,1,5733.31,1,1,1
1256,1368,1,14125.27,1,1,2
4920,1368,2,20459.74,1,2,3
1330,1368,2,31029.49,1,2,4
6367,1367,2,9010.57,1,1,1
658,1367,2,18448.21,1,2,3
326,1366,2,13353.21,1,2,2
2911,1365,1,920.4,1,1,1
6072,1365,2,15226.26,1,2,2
2592,1364,1,2003.02,1,1,1
7879,1364,2,10673.96,1,1,2
1772,1364,4,19338.41,1,3,3
11064,1363,1,68.3,1,1,1
8676,1363,1,247.48,1,1,1
906,1363,1,11783.88,1,1,2
10001,1363,1,16486.02,1,1,3
8437,1363,2,5798.9,1,1,1
1037,1362,2,4994.38,1,1,1
6582,1362,2,17120.35,1,2,3
9600,1362,3,14185.34,1,2,2
11813,1362,3,29156.89,1,3,4
6573,1361,1,3094.44,1,1,1
7399,1361,1,9191.44,1,1,1
10474,1360,1,6893.58,1,1,1
11104,1360,1,10469.91,1,1,2
9663,1360,1,11265.37,1,1,2
3125,1360,1,11426.67,1,1,2
4716,1360,1,14925.84,1,1,2
10298,1360,2,6762.16,1,1,1
11240,1360,3,13734.11,1,2,2
5498,1359,2,4592.58,1,1,1
10320,1358,2,18262.41,1,2,3
1066,1357,1,28.02,1,1,1
10945,1357,2,9607.03,1,1,1
3914,1357,3,4698.11,1,2,1
6756,1356,1,1139.69,1,1,1
10616,1356,1,19765.38,1,1,3
10575,1355,1,9270.97,1,1,1
4139,1355,2,7325.07,1,1,1
2742,1354,1,3051.94,1,1,1
266,1354,1,4411.79,1,1,1
10436,1354,2,9303.75,1,1,1
226,1354,3,14545.35,1,2,2
11195,1353,3,16150.07,1,2,3
757,1352,1,3222.38,1,1,1
1349,1352,2,15177.05,1,2,2
7545,1351,1,2488.28,1,1,1
11620,1351,1,5121.15,1,1,1
11133,1351,1,6752.01,1,1,1
10286,1351,2,16699.39,1,2,3
11719,1350,1,2900.78,1,1,1
2435,1349,1,2913.53,1,1,1
5669,1349,1,3608.38,1,1,1
10092,1349,1,4980.64,1,1,1
391,1349,2,6722.76,1,1,1
9533,1348,1,5327.08,1,1,1
7830,1348,1,9768.08,1,1,1
5276,1348,2,16708.24,1,2,3
542,1347,3,14660.95,1,2,2
1320,1346,2,18645.66,1,2,3
9950,1346,4,19988.85,1,3,3
7077,1345,1,1983.04,1,1,1
7167,1345,1,3979.28,1,1,1
1934,1345,3,27068.19,1,3,4
9559,1345,4,12668.63,1,3,2
3850,1344,1,56.1,1,1,1
8715,1344,1,12935.78,1,1,2
9488,1344,2,10577.68,1,1,2
9030,1343,1,1026.24,1,1,1
2565,1343,2,13143.09,1,2,2
6921,1343,3,27115.08,1,3,4
11462,1342,1,4130.31,1,1,1
5166,1342,1,7737.26,1,1,1
4331,1342,1,8216.01,1,1,1
10326,1342,2,11170.72,1,1,2
3268,1341,1,762.46,1,1,1
2769,1341,1,1751.39,1,1,1
9543,1341,1,2335.05,1,1,1
8347,1341,2,12427.0,1,1,2
9171,1341,3,16420.6,1,2,3
9502,1340,1,7799.0,1,1,1
1487,1339,1,4367.26,1,1,1
8321,1339,3,22421.41,1,3,3
10420,1338,1,2388.04,1,1,1
7840,1338,1,4943.86,1,1,1
2373,1338,2,3075.44,1,1,1
6796,1337,1,2315.86,1,1,1
3880,1337,1,4755.42,1,1,1
2141,1337,1,7222.52,1,1,1
2859,1337,1,7470.28,1,1,1
9002,1337,1,10806.18,1,1,2
1226,1336,1,7076.03,1,1,1
7098,1335,3,23155.21,1,3,4
1117,1334,2,8948.28,1,1,1
3475,1333,1,3281.14,1,1,1
1707,1333,1,5134.52,1,1,1
2711,1333,2,11242.28,1,1,2
6377,1332,1,4261.64,1,1,1
4235,1331,1,1060.39,1,1,1
1936,1331,3,18565.45,1,2,3
7544,1330,1,1751.27,1,1,1
5665,1330,1,9152.37,1,1,1
2944,1330,2,6569.68,1,1,1
8274,1329,1,6637.95,1,1,1
1078,1328,1,20782.94,1,1,3
6906,1328,3,14713.83,1,2,2
6547,1327,2,5441.16,1,1,1
5380,1327,2,5738.32,1,1,1
6885,1326,1,4095.92,1,1,1
9181,1326,2,3966.49,1,1,1
7955,1326,3,15867.48,1,2,2
6432,1325,3,10678.26,1,2,2
6514,1324,1,68.3,1,1,1
1896,1324,1,2287.38,1,1,1
5333,1324,2,16340.78,1,2,3
11838,1323,2,10832.73,1,1,2
7943,1323,2,14787.62,1,2,2
6866,1322,2,5917.12,1,1,1
11180,1322,2,7639.51,1,1,1
10374,1322,2,15868.54,1,2,2
4405,1321,1,13239.13,1,1,2
11464,1321,2,12269.3,1,1,2
11317,1320,3,19979.82,1,3,3
6462,1319,1,5925.78,1,1,1
5806,1319,2,7610.46,1,1,1
3650,1318,1,18752.34,1,1,3
1802,1318,2,8813.78,1,1,1
8025,1318,3,8015.42,1,2,1
5176,1317,1,2164.22,1,1,1
11814,1317,1,6863.34,1,1,1
3872,1317,1,7703.0,1,1,1
5729,1317,2,9798.8,1,1,1
10010,1317,2,14223.8,1,2,2
3889,1317,3,11655.73,1,2,2
9544,1316,1,2205.91,1,1,1
3544,1316,1,2212.59,1,1,1
8996,1316,1,4980.64,1,1,1
10423,1316,2,23451.08,1,2,4
3787,1315,1,3896.78,1,1,1
3347,1315,1,9154.03,1,1,1
4850,1315,3,14696.77,1,2,2
6363,1314,1,3887.79,1,1,1
8034,1314,1,6600.2,1,1,1
3046,1314,1,7845.21,1,1,1
158,1314,1,11437.96,1,1,2
1470,1313,1,1297.35,1,1,1
11251,1313,1,4313.46,1,1,1
6711,1313,1,6416.72,1,1,1
7038,1313,2,5607.16,1,1,1
1055,1313,3,18038.03,1,2,3
4829,1313,6,44395.03,1,5,5
8178,1312,1,6697.82,1,1,1
11740,1312,3,4306.25,1,2,1
6417,1311,1,3543.4,1,1,1
3620,1311,2,4988.18,1,1,1
535,1311,2,6847.7,1,1,1
9465,1311,2,8402.75,1,1,1
9996,1311,2,15217.01,1,2,2
1121,1311,3,19200.16,1,2,3
9959,1311,6,37235.53,1,5,5
902,1309,2,5885.24,1,1,1
9011,1309,4,24397.79,1,3,4
9620,1308,1,2781.54,1,1,1
10171,1308,2,9978.05,1,1,2
5321,1308,2,15280.68,1,2,2
2062,1307,1,7514.8,1,1,1
3606,1307,2,5614.13,1,1,1
2474,1307,2,11265.87,1,1,2
10475,1306,1,11360.72,1,1,2
5739,1306,2,10271.86,1,1,2
9740,1305,2,8483.97,1,1,1
4352,1305,2,13439.21,1,2,2
3689,1304,1,2280.42,1,1,1
4110,1304,1,6315.2,1,1,1
4952,1304,2,8749.49,1,1,1
3645,1304,2,17575.48,1,2,3
7528,1303,4,17078.3,1,3,3
7845,1303,4,20127.24,1,3,3
6624,1302,1,1469.77,1,1,1
56,1302,2,8067.06,1,1,1
11187,1301,1,9589.92,1,1,1
10566,1301,2,11200.82,1,1,2
1607,1300,1,2567.16,1,1,1
7990,1300,1,3071.6,1,1,1
6951,1300,2,14891.46,1,2,2
5230,1299,1,13876.27,1,1,2
11126,1299,2,5694.24,1,1,1
6544,1299,2,12136.6,1,1,2
4453,1299,5,25278.01,1,4,4
8559,1298,1,1332.18,1,1,1
2965,1298,1,2249.33,1,1,1
1243,1298,1,5232.42,1,1,1
3842,1298,1,7105.17,1,1,1
184,1298,4,22323.01,1,3,3
11378,1297,1,6989.64,1,1,1
6389,1296,1,4026.81,1,1,1
2515,1296,2,10021.15,1,1,2
7019,1295,1,3053.73,1,1,1
3107,1295,1,6492.66,1,1,1
5180,1295,1,6695.96,1,1,1
675,1295,2,3881.24,1,1,1
9408,1295,2,14805.99,1,2,2
3469,1295,2,18683.11,1,2,3
8624,1294,1,6938.19,1,1,1
10935,1294,2,7073.43,1,1,1
5977,1294,2,14987.24,1,2,2
6814,1294,3,18213.05,1,2,3
9839,1293,1,1176.08,1,1,1
8982,1293,1,5265.56,1,1,1
11208,1293,2,8160.8,1,1,1
9117,1293,2,8770.51,1,1,1
6484,1292,2,6416.36,1,1,1
3573,1292,2,9966.0,1,1,2
11775,1292,2,15701.04,1,2,2
6174,1292,3,9561.6,1,2,1
9116,1291,1,2761.68,1,1,1
5357,1291,2,7212.67,1,1,1
2825,1291,2,12460.07,1,1,2
7996,1291,2,33894.26,1,2,5
2198,1291,4,14909.98,1,3,2
2192,1289,1,5110.64,1,1,1
1764,1288,1,7986.49,1,1,1
8375,1288,2,6033.91,1,1,1
586,1288,2,7923.65,1,1,1
1736,1288,3,18068.75,1,2,3
7902,1287,2,5490.4,1,1,1
8261,1287,2,11528.27,1,1,2
1181,1287,3,11177.33,1,2,2
11056,1286,1,1362.33,1,1,1
1245,1286,2,5622.43,1,1,1
3746,1286,2,19184.61,1,2,3
5504,1286,4,21146.05,1,3,3
5545,1286,4,24463.7,1,3,4
2495,1286,5,21092.22,1,4,3
11095,1285,1,7051.98,1,1,1
4975,1285,1,8723.65,1,1,1
7725,1285,1,16291.7,1,1,3
4926,1285,2,7479.69,1,1,1
3798,1285,2,10826.92,1,1,2
10497,1285,2,17626.0,1,2,3
1221,1285,3,23311.87,1,3,4
4997,1284,1,5904.5,1,1,1
11586,1284,1,10329.0,1,1,2
10926,1284,2,6339.52,1,1,1
8974,1284,2,7503.06,1,1,1
8933,1284,2,8054.21,1,1,1
2430,1283,1,348.02,1,1,1
1505,1283,1,1903.95,1,1,1
3808,1283,2,3484.22,1,1,1
7656,1283,2,10601.72,1,1,2
6861,1283,3,16842.42,1,2,3
5873,1282,1,2023.9,1,1,1
7183,1282,1,2602.66,1,1,1
2098,1282,1,6698.81,1,1,1
2450,1282,2,7195.64,1,1,1
2167,1282,2,20731.57,1,2,3
1229,1282,2,27469.21,1,2,4
5569,1282,3,12415.55,1,2,2
3804,1281,1,4699.94,1,1,1
8063,1281,2,4649.22,1,1,1
2376,1281,3,5748.95,1,2,1
4029,1281,4,29705.28,1,4,4
3177,1280,1,13273.64,1,1,2
9363,1280,2,8065.89,1,1,1
2747,1279,1,1311.72,1,1,1
7179,1279,1,5909.46,1,1,1
1276,1279,1,5952.94,1,1,1
7980,1279,1,8871.76,1,1,1
556,1279,3,19097.68,1,2,3
10138,1278,1,7577.43,1,1,1
2390,1278,2,3663.44,1,1,1
4334,1278,2,9131.58,1,1,1
7186,1278,5,35909.42,1,4,5
8400,1277,1,3919.6,1,1,1
892,1277,1,4146.98,1,1,1
10123,1277,1,4600.16,1,1,1
6016,1277,1,10006.31,1,1,2
9095,1277,2,17060.12,1,2,3
2105,1276,1,1490.64,1,1,1
6577,1276,1,1622.89,1,1,1
4800,1276,1,3791.47,1,1,1
10370,1275,1,4249.47,1,1,1
8105,1275,2,5915.93,1,1,1
4830,1275,2,6357.48,1,1,1
6849,1275,2,9722.5,1,1,1
9213,1274,3,22531.61,1,3,3
278,1273,1,5698.77,1,1,1
9424,1273,2,5610.64,1,1,1
8095,1273,2,11706.21,1,1,2
9787,1273,2,25342.4,1,2,4
3578,1272,1,9833.79,1,1,1
5090,1272,5,30762.96,1,4,4
2380,1271,1,2259.42,1,1,1
8997,1271,1,2460.31,1,1,1
7512,1271,1,6026.54,1,1,1
8625,1270,2,17856.25,1,2,3
7514,1270,3,22568.52,1,3,3
11532,1269,1,5066.91,1,1,1
2633,1269,2,22623.2,1,2,3
8494,1269,3,13402.15,1,2,2
3386,1269,3,16916.42,1,2,3
7416,1269,4,20670.81,1,3,3
10178,1268,1,4311.01,1,1,1
7901,1268,2,5091.37,1,1,1
425,1268,2,10605.94,1,1,2
11649,1268,2,12512.27,1,1,2
2381,1268,2,13366.07,1,2,2
6793,1267,1,6368.27,1,1,1
5225,1267,1,14666.06,1,1,2
11956,1266,1,612.1,1,1,1
10918,1266,1,10458.77,1,1,2
11332,1266,2,2971.85,1,1,1
5154,1266,2,9723.22,1,1,1
11660,1266,2,13095.4,1,2,2
6745,1266,2,15049.38,1,2,2
11389,1266,3,9629.49,1,2,1
7754,1266,3,20772.44,1,3,3
4943,1265,1,43.95,1,1,1
5217,1265,2,13339.61,1,2,2
9528,1264,1,5655.05,1,1,1
8408,1264,2,8795.92,1,1,1
3445,1264,2,8936.9,1,1,1
11890,1264,3,19009.83,1,2,3
10430,1264,5,32546.73,1,4,5
10336,1263,1,974.22,1,1,1
11717,1263,1,4218.91,1,1,1
9838,1263,2,5421.56,1,1,1
4307,1263,2,16486.81,1,2,3
4191,1263,3,17228.32,1,2,3
9576,1262,1,581.84,1,1,1
1683,1262,2,3867.58,1,1,1
1768,1262,2,7593.71,1,1,1
8870,1262,2,10875.76,1,1,2
3103,1262,2,11040.54,1,1,2
627,1262,3,6672.39,1,2,1
10635,1261,1,4049.12,1,1,1
10172,1261,2,4497.07,1,1,1
4039,1261,2,4764.64,1,1,1
11348,1261,2,11507.42,1,1,2
9958,1261,3,19992.06,1,3,3
1890,1260,1,682.1,1,1,1
3455,1259,1,3602.31,1,1,1
11019,1259,1,5336.91,1,1,1
2083,1259,1,10061.85,1,1,2
9122,1259,2,18694.07,1,2,3
5849,1259,4,26672.97,1,4,4
403,1258,1,4045.18,1,1,1
5330,1258,2,5607.28,1,1,1
1374,1258,3,19118.53,1,2,3
5156,1258,3,34049.34,1,3,5
7909,1257,1,673.2,1,1,1
2665,1257,1,1333.17,1,1,1
7599,1257,2,3711.17,1,1,1
1225,1257,2,11000.3,1,1,2
9538,1257,3,25399.42,1,3,4
3814,1256,1,2618.79,1,1,1
6553,1256,1,4087.48,1,1,1
9519,1256,2,14718.65,1,2,2
9392,1255,1,3996.6,1,1,1
11366,1255,2,3340.48,1,1,1
10164,1255,2,17746.54,1,2,3
5609,1255,2,18708.09,1,2,3
11350,1254,1,4600.16,1,1,1
10158,1254,1,12254.15,1,1,2
11711,1254,2,8320.66,1,1,1
431,1254,3,27018.11,1,3,4
790,1253,2,5237.06,1,1,1
6721,1253,2,6502.0,1,1,1
5901,1253,2,13478.05,1,2,2
3934,1253,2,16911.0,1,2,3
6383,1253,2,24810.01,1,2,4
5738,1253,3,23057.96,1,3,4
5994,1253,4,17844.13,1,3,3
1908,1252,1,14218.15,1,1,2
8384,1252,2,11153.4,1,1,2
11940,1252,2,19427.77,1,2,3
8244,1252,2,28118.92,1,2,4
10759,1252,3,12754.41,1,2,2
4260,1251,2,5118.34,1,1,1
885,1251,2,9252.8,1,1,1
2670,1251,3,11555.57,1,2,2
888,1251,3,28773.31,1,3,4
8665,1250,1,3608.38,1,1,1
2443,1250,2,5564.61,1,1,1
1365,1250,2,14503.22,1,2,2
11521,1249,1,87.96,1,1,1
10217,1249,1,1470.57,1,1,1
1149,1249,2,21318.18,1,2,3
8075,1249,3,6736.97,1,2,1
9305,1249,3,8043.06,1,2,1
8969,1248,1,1153.92,1,1,1
2538,1248,1,1285.56,1,1,1
1126,1248,1,6213.3,1,1,1
10440,1248,2,8062.01,1,1,1
9027,1248,2,12458.16,1,1,2
7722,1248,4,18548.78,1,3,3
1271,1248,4,25925.61,1,3,4
6374,1247,1,8536.12,1,1,1
6520,1247,2,15608.52,1,2,2
4808,1247,3,19059.09,1,2,3
284,1246,1,12267.87,1,1,2
10280,1246,5,34895.43,1,4,5
8712,1245,1,6658.47,1,1,1
9534,1245,1,6938.18,1,1,1
2700,1245,1,12843.74,1,1,2
2409,1245,2,4486.52,1,1,1
11393,1245,2,9402.36,1,1,1
10547,1245,2,11006.49,1,1,2
11142,1244,1,3995.28,1,1,1
758,1244,2,15915.66,1,2,2
4444,1244,3,7483.75,1,2,1
2689,1244,3,31178.56,1,3,4
5053,1243,1,4974.16,1,1,1
10520,1243,1,5796.0,1,1,1
9108,1243,1,10211.98,1,1,2
1808,1243,2,4278.92,1,1,1
4905,1243,2,10680.95,1,1,2
3890,1242,1,1219.16,1,1,1
9686,1242,1,1539.36,1,1,1
7123,1242,1,6068.96,1,1,1
11924,1242,1,7059.12,1,1,1
5631,1242,2,3651.5,1,1,1
7816,1242,2,4640.46,1,1,1
11163,1242,2,14056.93,1,2,2
1421,1242,2,14771.47,1,2,2
5022,1242,3,14330.95,1,2,2
6193,1241,1,2368.39,1,1,1
10386,1241,1,6018.62,1,1,1
9707,1241,3,13899.55,1,2,2
8449,1241,5,35827.97,1,4,5
10820,1240,2,3993.47,1,1,1
10714,1240,2,9328.29,1,1,1
9681,1240,2,12466.54,1,1,2
9995,1240,6,35799.07,1,5,5
6452,1239,1,1702.12,1,1,1
5398,1239,1,8053.86,1,1,1
8459,1239,2,4093.09,1,1,1
7054,1239,2,10834.51,1,1,2
2881,1239,3,27260.92,1,3,4
10282,1239,4,30795.26,1,4,4
2931,1239,4,32491.25,1,4,5
8567,1238,1,5533.85,1,1,1
5395,1238,2,9416.69,1,1,1
6505,1238,2,12232.03,1,1,2
7977,1237,1,773.61,1,1,1
4856,1237,1,4205.48,1,1,1
4247,1237,1,13089.15,1,1,2
4369,1237,2,6978.94,1,1,1
6902,1237,3,5814.92,1,2,1
8192,1237,3,24129.81,1,3,4
881,1237,4,25223.79,1,3,4
6298,1236,1,6445.98,1,1,1
7887,1236,2,10346.54,1,1,2
11927,1236,5,32933.96,1,4,5
5185,1235,1,247.48,1,1,1
7893,1235,1,4294.14,1,1,1
5124,1235,1,13965.99,1,1,2
3232,1235,2,14350.36,1,2,2
10609,1235,2,16535.89,1,2,3
2966,1235,2,21605.12,1,2,3
2408,1235,3,13955.36,1,2,2
5475,1235,4,20062.06,1,3,3
3321,1234,1,6801.25,1,1,1
1177,1234,1,7658.58,1,1,1
8166,1234,1,9250.92,1,1,1
3008,1234,2,8621.5,1,1,1
1120,1234,2,17102.56,1,2,3
9769,1234,3,28941.27,1,3,4
7289,1234,4,29682.66,1,4,4
1757,1233,1,87.96,1,1,1
3161,1233,1,495.76,1,1,1
8423,1233,1,2269.29,1,1,1
7662,1233,1,6058.41,1,1,1
9493,1233,3,23350.4,1,3,4
9187,1233,3,31948.31,1,3,5
2675,1233,5,34828.06,1,4,5
2210,1232,1,5086.62,1,1,1
2691,1232,1,11376.22,1,1,2
3464,1232,1,14691.37,1,1,2
10080,1232,2,8162.22,1,1,1
10087,1232,2,12670.06,1,1,2
9196,1232,2,15533.72,1,2,2
10862,1232,3,14745.97,1,2,2
6448,1232,4,15971.73,1,3,2
7144,1231,1,7378.52,1,1,1
478,1231,1,7437.16,1,1,1
4769,1230,2,13164.6,1,2,2
9291,1230,3,13645.53,1,2,2
10784,1229,1,3526.62,1,1,1
10791,1228,2,5642.41,1,1,1
488,1228,2,9665.81,1,1,1
1104,1228,5,34148.51,1,4,5
8726,1227,1,247.41,1,1,1
8754,1227,2,13541.77,1,2,2
10024,1227,4,14170.99,1,3,2
11600,1226,1,2688.22,1,1,1
11194,1226,2,7677.01,1,1,1
9979,1226,2,10401.17,1,1,2
5601,1226,2,15231.31,1,2,2
6379,1226,3,9794.83,1,2,1
7403,1225,1,11929.0,1,1,2
470,1225,3,10103.0,1,2,2
9911,1224,1,2793.12,1,1,1
1289,1224,1,4755.42,1,1,1
7360,1224,1,7422.61,1,1,1
8268,1224,2,1757.68,1,1,1
11299,1224,2,5733.98,1,1,1
4378,1224,2,6776.46,1,1,1
10521,1224,3,20639.83,1,3,3
4016,1224,4,15315.9,1,3,2
4324,1224,4,35735.53,1,4,5
2752,1224,5,33218.8,1,4,5
7277,1223,2,4448.46,1,1,1
8597,1223,2,12379.27,1,1,2
6093,1223,2,12854.04,1,1,2
7046,1223,3,6916.56,1,2,1
2588,1223,3,15689.29,1,2,2
9633,1223,3,29115.95,1,3,4
9927,1223,4,21510.43,1,3,3
2749,1223,4,29528.14,1,4,4
7195,1222,1,371.22,1,1,1
5042,1222,1,5739.48,1,1,1
2839,1222,2,11489.93,1,1,2
163,1222,2,15311.89,1,2,2
379,1222,2,20674.99,1,2,3
5480,1221,1,4921.71,1,1,1
10764,1221,2,9078.06,1,1,1
11419,1221,2,19055.92,1,2,3
5760,1220,1,1391.86,1,1,1
9223,1220,2,6153.02,1,1,1
8278,1220,2,7041.78,1,1,1
2510,1220,2,10554.72,1,1,2
4121,1220,2,11191.83,1,1,2
2135,1220,3,10002.59,1,2,2
3294,1220,3,13123.1,1,2,2
2068,1220,3,20605.92,1,3,3
10047,1220,4,20471.79,1,3,3
7404,1219,1,4172.43,1,1,1
8455,1219,4,19537.69,1,3,3
620,1218,1,1668.18,1,1,1
7970,1218,1,5388.76,1,1,1
5692,1218,1,8107.0,1,1,1
911,1218,3,13720.76,1,2,2
5054,1218,3,19231.01,1,2,3
7299,1218,3,30019.99,1,3,4
5687,1218,5,32800.74,1,4,5
7497,1218,5,33677.97,1,4,5
11034,1217,1,4177.22,1,1,1
5966,1217,1,5294.34,1,1,1
4114,1217,1,5604.96,1,1,1
7931,1217,1,10763.1,1,1,2
2396,1217,2,9517.77,1,1,1
3217,1217,2,10710.62,1,1,2
9366,1216,1,1155.36,1,1,1
8796,1216,1,2215.92,1,1,1
2702,1216,1,6878.4,1,1,1
3828,1216,1,9353.35,1,1,1
1776,1216,2,7214.56,1,1,1
9126,1216,2,11188.8,1,1,2
9092,1216,2,14710.4,1,2,2
3738,1216,3,12527.98,1,2,2
2640,1216,3,14910.46,1,2,2
4123,1216,3,16397.4,1,2,3
6499,1216,4,44944.21,1,4,5
2900,1215,1,161.77,1,1,1
7832,1215,1,513.3,1,1,1
2018,1215,1,5123.51,1,1,1
7900,1215,2,293.89,1,1,1
9041,1215,3,20036.49,1,3,3
5179,1214,1,7964.61,1,1,1
10437,1214,2,9670.61,1,1,1
11361,1214,2,12305.18,1,1,2
508,1214,2,13524.85,1,2,2
6040,1214,2,13850.72,1,2,2
5425,1214,2,15194.35,1,2,2
1984,1214,3,7340.75,1,2,1
5101,1213,1,2728.4,1,1,1
11337,1213,2,6776.54,1,1,1
7175,1213,2,20580.67,1,2,3
1615,1213,3,7180.37,1,2,1
3762,1213,3,36451.61,1,3,5
7271,1213,4,26128.34,1,4,4
1399,1212,1,1955.12,1,1,1
1022,1212,2,12049.12,1,1,2
6839,1212,3,9567.72,1,2,1
5414,1212,3,27153.16,1,3,4
