categoria,nome_produto,qtd_vendida,receita_total,ranking_categoria
Decoração,Produto Decoração 130,1352,774481.16,24
Decoração,Produto Decoração 10,1361,753955.6,25
Decoração,Produto Decoração 147,1349,668766.07,26
Decoração,Produto Decoração 78,1210,523253.3,27
Decoração,Produto Decoração 89,1431,271777.43,28
Decoração,Produto Decoração 117,1358,168026.41,29
Iluminação,Produto Iluminação 81,1400,3244849.03,1
Iluminação,Produto Iluminação 100,1260,2777708.35,2
Iluminação,Produto Iluminação 8,1351,2738989.96,3
Iluminação,Produto Iluminação 12,1437,2180261.61,4
Iluminação,Produto Iluminação 116,1392,2038738.85,5
Iluminação,Produto Iluminação 145,1328,1696720.52,6
Iluminação,Produto Iluminação 96,1329,1533546.74,7
Iluminação,Produto Iluminação 82,1424,1522327.9,8
Iluminação,Produto Iluminação 146,1405,1430206.41,9
Iluminação,Produto Iluminação 27,1381,1401552.16,10
Iluminação,Produto Iluminação 95,1260,1261940.07,11
Iluminação,Produto Iluminação 132,1340,1193715.05,12
Iluminação,Produto Iluminação 101,1317,957143.57,13
Iluminação,Produto Iluminação 50,1443,885759.04,14
Iluminação,Produto Iluminação 20,1399,592296.34,15
Iluminação,Produto Iluminação 41,1346,399277.97,16
Iluminação,Produto Iluminação 86,1402,226789.68,17
Iluminação,Produto Iluminação 111,1436,185720.17,18
Jardim,Produto Jardim 98,1386,3451572.8,1
Jardim,Produto Jardim 51,1390,3292104.61,2
Jardim,Produto Jardim 55,1471,3212105.35,3
Jardim,Produto Jardim 48,1372,3152652.34,4
Jardim,Produto Jardim 87,1330,3059092.72,5
Jardim,Produto Jardim 28,1392,3053185.73,6
Jardim,Produto Jardim 120,1277,2825542.7,7
Jardim,Produto Jardim 23,1483,2711251.51,8
Jardim,Produto Jardim 40,1405,2644449.77,9
Jardim,Produto Jardim 121,1376,2585078.81,10
Jardim,Produto Jardim 102,1435,2532447.1,11
Jardim,Produto Jardim 85,1334,2460725.26,12
Jardim,Produto Jardim 53,1222,2345336.45,13
Jardim,Produto Jardim 83,1362,2262869.2,14
Jardim,Produto Jardim 149,1469,2102684.11,15
Jardim,Produto Jardim 93,1462,1924709.55,16
Jardim,Produto Jardim 66,1232,1785157.61,17
Jardim,Produto Jardim 59,1502,1711801.67,18
Jardim,Produto Jardim 7,1400,1484563.62,19
Jardim,Produto Jardim 104,1328,1012533.84,20
Jardim,Produto Jardim 91,1344,847528.76,21
Jardim,Produto Jardim 107,1323,717530.47,22
Jardim,Produto Jardim 46,1317,676005.05,23
Jardim,Produto Jardim 16,1320,655869.71,24
Jardim,Produto Jardim 65,1364,474836.81,25
Jardim,Produto Jardim 138,1400,429506.62,26
Jardim,Produto Jardim 92,1315,293652.47,27
Jardim,Produto Jardim 114,1437,63185.93,28
Móveis,Produto Móveis 77,1439,3486841.72,1
Móveis,Produto Móveis 118,1456,3275010.35,2
Móveis,Produto Móveis 88,1350,3243673.86,3
Móveis,Produto Móveis 63,1407,3027710.31,4
Móveis,Produto Móveis 18,1386,2967676.06,5
Móveis,Produto Móveis 35,1311,2825901.14,6
Móveis,Produto Móveis 68,1480,2448321.27,7
Móveis,Produto Móveis 39,1336,2280674.19,8
Móveis,Produto Móveis 140,1278,1673400.86,9
Móveis,Produto Móveis 127,1463,1417195.12,10
Móveis,Produto Móveis 71,1378,1403479.47,11
Móveis,Produto Móveis 37,1249,1216788.03,12
Móveis,Produto Móveis 60,1309,1123699.05,13
Móveis,Produto Móveis 150,1380,1067568.27,14
Móveis,Produto Móveis 26,1482,871462.42,15
Móveis,Produto Móveis 72,1328,845485.41,16
Móveis,Produto Móveis 134,1450,443760.43,17
Móveis,Produto Móveis 136,1377,397719.92,18
Móveis,Produto Móveis 11,1448,362000.82,19
Móveis,Produto Móveis 110,1378,342972.73,20
Móveis,Produto Móveis 76,1420,206540.83,21
Móveis,Produto Móveis 97,1418,61102.16,22
Outros,Produto Banheiro 3,1310,2432474.11,1
Outros,Produto Jardim 4,1437,1532358.39,2
Outros,Produto Decoração 5,1378,822653.84,3
Outros,Produto Decoração 2,1339,767983.84,4
Outros,Produto Jardim 6,1338,686542.74,5
Outros,Produto Banheiro 1,1369,405351.1,6
