categoria,nome_produto,preco_casanova,preco_medio_mercado,gap_pct
Banheiro,Produto Banheiro 29,88.89,72.98,21.8
Banheiro,Produto Banheiro 29,88.89,73.0,21.77
Banheiro,Produto Banheiro 57,791.3,650.81,21.59
Iluminação,Produto Iluminação 101,551.1,453.26,21.59
Móveis,Produto Móveis 76,773.4,636.15,21.58
Banheiro,Produto Banheiro 57,791.3,651.55,21.45
Banheiro,Produto Banheiro 57,791.3,651.61,21.44
Móveis,Produto Móveis 71,818.64,674.82,21.31
Jardim,Produto Jardim 46,114.86,94.69,21.3
Banheiro,Produto Banheiro 29,88.89,73.31,21.25
Iluminação,Produto Iluminação 81,322.1,265.71,21.22
Iluminação,Produto Iluminação 81,322.1,265.75,21.2
Banheiro,Produto Banheiro 57,791.3,653.05,21.17
Móveis,Produto Móveis 37,19.61,16.19,21.12
Móveis,Produto Móveis 37,19.61,16.19,21.12
Móveis,Produto Móveis 71,818.64,676.14,21.08
Móveis,Produto Móveis 35,77.25,63.81,21.06
Banheiro,Produto Banheiro 29,88.89,73.46,21.0
Banheiro,Produto Banheiro 29,88.89,73.46,21.0
Iluminação,Produto Iluminação 101,551.1,455.45,21.0
Jardim,Produto Jardim 46,114.86,94.98,20.93
Jardim,Produto Jardim 28,514.25,425.3,20.91
Móveis,Produto Móveis 35,77.25,63.9,20.89
Móveis,Produto Móveis 76,773.4,640.17,20.81
Móveis,Produto Móveis 76,773.4,640.23,20.8
Iluminação,Produto Iluminação 81,322.1,266.63,20.8
Jardim,Produto Jardim 28,514.25,425.93,20.74
Jardim,Produto Jardim 28,514.25,425.9,20.74
Iluminação,Produto Iluminação 81,322.1,266.83,20.71
Iluminação,Produto Iluminação 8,166.82,138.22,20.69
Iluminação,Produto Iluminação 81,322.1,267.06,20.61
Móveis,Produto Móveis 35,77.25,64.08,20.55
Iluminação,Produto Iluminação 8,166.82,138.52,20.43
Banheiro,Produto Banheiro 29,88.89,73.81,20.43
Banheiro,Produto Banheiro 58,543.89,451.62,20.43
Móveis,Produto Móveis 71,818.64,679.95,20.4
Jardim,Produto Jardim 114,827.46,687.24,20.4
Móveis,Produto Móveis 76,773.4,642.44,20.38
Iluminação,Produto Iluminação 8,166.82,138.72,20.26
Jardim,Produto Jardim 149,657.94,547.1,20.26
Jardim,Produto Jardim 28,514.25,427.97,20.16
Iluminação,Produto Iluminação 101,551.1,458.63,20.16
Iluminação,Produto Iluminação 101,551.1,458.83,20.11
Banheiro,Produto Banheiro 29,88.89,74.02,20.09
Móveis,Produto Móveis 35,77.25,64.37,20.01
Móveis,Produto Móveis 37,19.61,16.34,20.01
Móveis,Produto Móveis 76,773.4,644.53,19.99
Iluminação,Produto Iluminação 81,322.1,268.6,19.92
Móveis,Produto Móveis 37,19.61,16.36,19.87
Banheiro,Produto Banheiro 58,543.89,453.91,19.82
Jardim,Produto Jardim 46,114.86,95.96,19.7
Móveis,Produto Móveis 35,77.25,64.54,19.69
Banheiro,Produto Banheiro 58,543.89,454.43,19.69
Móveis,Produto Móveis 35,77.25,64.56,19.66
Jardim,Produto Jardim 28,514.25,429.84,19.64
Iluminação,Produto Iluminação 101,551.1,460.63,19.64
Jardim,Produto Jardim 28,514.25,430.1,19.57
Banheiro,Produto Banheiro 57,791.3,661.84,19.56
Jardim,Produto Jardim 46,114.86,96.1,19.52
Banheiro,Produto Banheiro 57,791.3,662.14,19.51
Móveis,Produto Móveis 35,77.25,64.69,19.42
Decoração,Produto Decoração 117,496.71,415.92,19.42
Móveis,Produto Móveis 76,773.4,647.97,19.36
Móveis,Produto Móveis 37,19.61,16.43,19.35
Jardim,Produto Jardim 85,49.05,41.1,19.34
Jardim,Produto Jardim 28,514.25,431.02,19.31
Móveis,Produto Móveis 37,19.61,16.44,19.28
Banheiro,Produto Banheiro 57,791.3,663.75,19.22
Jardim,Produto Jardim 85,49.05,41.15,19.2
Móveis,Produto Móveis 35,77.25,64.81,19.19
Decoração,Produto Decoração 117,496.71,416.78,19.18
Iluminação,Produto Iluminação 8,166.82,139.98,19.17
Jardim,Produto Jardim 46,114.86,96.44,19.1
Iluminação,Produto Iluminação 101,551.1,462.86,19.06
Banheiro,Produto Banheiro 57,791.3,665.0,18.99
Decoração,Produto Decoração 117,496.71,417.61,18.94
Jardim,Produto Jardim 46,114.86,96.58,18.93
Iluminação,Produto Iluminação 8,166.82,140.34,18.87
Móveis,Produto Móveis 136,690.82,581.56,18.79
Decoração,Produto Decoração 99,621.17,523.0,18.77
Iluminação,Produto Iluminação 101,551.1,464.35,18.68
Banheiro,Produto Banheiro 124,372.53,313.89,18.68
Jardim,Produto Jardim 149,657.94,554.39,18.68
Móveis,Produto Móveis 71,818.64,690.03,18.64
Móveis,Produto Móveis 37,19.61,16.53,18.63
Jardim,Produto Jardim 28,514.25,433.6,18.6
Banheiro,Produto Banheiro 124,372.53,314.21,18.56
Jardim,Produto Jardim 149,657.94,555.12,18.52
Iluminação,Produto Iluminação 8,166.82,140.79,18.49
Jardim,Produto Jardim 85,49.05,41.4,18.48
Iluminação,Produto Iluminação 81,322.1,272.18,18.34
Móveis,Produto Móveis 35,77.25,65.3,18.3
Jardim,Produto Jardim 28,514.25,434.75,18.29
Móveis,Produto Móveis 37,19.61,16.59,18.2
Móveis,Produto Móveis 71,818.64,692.98,18.13
Banheiro,Produto Banheiro 58,543.89,460.83,18.02
Jardim,Produto Jardim 46,114.86,97.34,18.0
Jardim,Produto Jardim 114,827.46,701.22,18.0
Iluminação,Produto Iluminação 8,166.82,141.38,17.99
Jardim,Produto Jardim 28,514.25,435.87,17.98
Banheiro,Produto Banheiro 58,543.89,460.99,17.98
Outros,Produto Jardim 6,32.19,27.3,17.91
Iluminação,Produto Iluminação 96,92.74,78.67,17.88
Cozinha,Produto Cozinha 54,357.67,303.44,17.87
Móveis,Produto Móveis 37,19.61,16.64,17.85
Jardim,Produto Jardim 85,49.05,41.63,17.82
Banheiro,Produto Banheiro 29,88.89,75.47,17.78
Banheiro,Produto Banheiro 58,543.89,461.81,17.77
Iluminação,Produto Iluminação 96,92.74,78.75,17.77
Iluminação,Produto Iluminação 96,92.74,78.76,17.75
Outros,Produto Jardim 6,32.19,27.34,17.74
Decoração,Produto Decoração 34,132.67,112.79,17.63
Móveis,Produto Móveis 88,553.72,471.02,17.56
Móveis,Produto Móveis 136,690.82,587.77,17.53
Banheiro,Produto Banheiro 57,791.3,673.31,17.52
Jardim,Produto Jardim 114,827.46,704.13,17.52
Cozinha,Produto Cozinha 54,357.67,304.43,17.49
Móveis,Produto Móveis 35,77.25,65.76,17.47
Outros,Produto Jardim 6,32.19,27.41,17.44
Jardim,Produto Jardim 120,553.97,471.97,17.37
Iluminação,Produto Iluminação 8,166.82,142.16,17.35
Decoração,Produto Decoração 117,496.71,423.27,17.35
Iluminação,Produto Iluminação 81,322.1,274.51,17.34
Jardim,Produto Jardim 149,657.94,560.71,17.34
Jardim,Produto Jardim 85,49.05,41.81,17.32
Móveis,Produto Móveis 71,818.64,697.83,17.31
Iluminação,Produto Iluminação 8,166.82,142.29,17.24
Banheiro,Produto Banheiro 124,372.53,317.98,17.16
Móveis,Produto Móveis 76,773.4,660.25,17.14
Iluminação,Produto Iluminação 8,166.82,142.43,17.12
Banheiro,Produto Banheiro 58,543.89,464.44,17.11
Iluminação,Produto Iluminação 96,92.74,79.21,17.08
Cozinha,Produto Cozinha 54,357.67,305.53,17.07
Jardim,Produto Jardim 120,553.97,473.31,17.04
Banheiro,Produto Banheiro 58,543.89,464.76,17.03
Decoração,Produto Decoração 99,621.17,530.76,17.03
Decoração,Produto Decoração 117,496.71,424.48,17.02
Jardim,Produto Jardim 120,553.97,473.42,17.01
Banheiro,Produto Banheiro 29,88.89,75.99,16.98
Jardim,Produto Jardim 114,827.46,707.34,16.98
Jardim,Produto Jardim 46,114.86,98.2,16.97
Iluminação,Produto Iluminação 8,166.82,142.66,16.94
Móveis,Produto Móveis 76,773.4,661.71,16.88
Móveis,Produto Móveis 37,19.61,16.78,16.87
Cozinha,Produto Cozinha 54,357.67,306.05,16.87
Jardim,Produto Jardim 114,827.46,708.02,16.87
Móveis,Produto Móveis 76,773.4,661.84,16.86
Cozinha,Produto Cozinha 54,357.67,306.14,16.83
Decoração,Produto Decoração 117,496.71,425.23,16.81
Banheiro,Produto Banheiro 58,543.89,465.86,16.75
Móveis,Produto Móveis 88,553.72,474.29,16.75
Iluminação,Produto Iluminação 101,551.1,472.07,16.74
Banheiro,Produto Banheiro 57,791.3,677.87,16.73
Móveis,Produto Móveis 76,773.4,662.61,16.72
Iluminação,Produto Iluminação 96,92.74,79.46,16.71
Decoração,Produto Decoração 34,132.67,113.68,16.7
Jardim,Produto Jardim 85,49.05,42.03,16.7
Jardim,Produto Jardim 85,49.05,42.03,16.7
Jardim,Produto Jardim 114,827.46,709.21,16.67
Cozinha,Produto Cozinha 54,357.67,306.58,16.66
Jardim,Produto Jardim 85,49.05,42.05,16.65
Banheiro,Produto Banheiro 57,791.3,678.42,16.64
Decoração,Produto Decoração 117,496.71,425.86,16.64
Iluminação,Produto Iluminação 81,322.1,276.25,16.6
Móveis,Produto Móveis 71,818.64,702.18,16.59
Jardim,Produto Jardim 85,49.05,42.07,16.59
Móveis,Produto Móveis 26,824.6,707.32,16.58
Decoração,Produto Decoração 117,496.71,426.12,16.57
Outros,Produto Jardim 6,32.19,27.62,16.55
Móveis,Produto Móveis 26,824.6,707.6,16.53
Móveis,Produto Móveis 88,553.72,475.16,16.53
Móveis,Produto Móveis 88,553.72,475.23,16.52
Jardim,Produto Jardim 114,827.46,710.18,16.51
Outros,Produto Jardim 6,32.19,27.63,16.5
Móveis,Produto Móveis 76,773.4,663.9,16.49
Móveis,Produto Móveis 76,773.4,663.98,16.48
Iluminação,Produto Iluminação 96,92.74,79.64,16.45
Decoração,Produto Decoração 99,621.17,533.52,16.43
Móveis,Produto Móveis 76,773.4,664.37,16.41
Decoração,Produto Decoração 117,496.71,426.7,16.41
Outros,Produto Jardim 6,32.19,27.66,16.38
Jardim,Produto Jardim 28,514.25,441.94,16.36
Iluminação,Produto Iluminação 96,92.74,79.7,16.36
Iluminação,Produto Iluminação 101,551.1,473.67,16.35
Móveis,Produto Móveis 35,77.25,66.4,16.34
Banheiro,Produto Banheiro 29,88.89,76.42,16.32
Banheiro,Produto Banheiro 57,791.3,680.47,16.29
Jardim,Produto Jardim 85,49.05,42.18,16.29
Móveis,Produto Móveis 136,690.82,594.22,16.26
Móveis,Produto Móveis 37,19.61,16.87,16.24
Iluminação,Produto Iluminação 81,322.1,277.15,16.22
Decoração,Produto Decoração 117,496.71,427.37,16.22
Jardim,Produto Jardim 28,514.25,442.51,16.21
Jardim,Produto Jardim 114,827.46,712.1,16.2
Cozinha,Produto Cozinha 54,357.67,307.87,16.18
Iluminação,Produto Iluminação 8,166.82,143.6,16.17
Móveis,Produto Móveis 26,824.6,709.89,16.16
Móveis,Produto Móveis 97,766.85,660.21,16.15
Cozinha,Produto Cozinha 54,357.67,307.99,16.13
Jardim,Produto Jardim 46,114.86,98.92,16.11
Iluminação,Produto Iluminação 101,551.1,474.79,16.07
Jardim,Produto Jardim 46,114.86,98.98,16.04
Móveis,Produto Móveis 71,818.64,705.57,16.03
Jardim,Produto Jardim 46,114.86,99.0,16.02
Banheiro,Produto Banheiro 70,318.63,274.69,16.0
Cozinha,Produto Cozinha 129,796.69,686.82,16.0
Jardim,Produto Jardim 114,827.46,713.41,15.99
Móveis,Produto Móveis 35,77.25,66.64,15.92
Cozinha,Produto Cozinha 54,357.67,308.55,15.92
Móveis,Produto Móveis 35,77.25,66.65,15.9
Decoração,Produto Decoração 34,132.67,114.54,15.83
Iluminação,Produto Iluminação 81,322.1,278.13,15.81
Cozinha,Produto Cozinha 129,796.69,687.95,15.81
Iluminação,Produto Iluminação 95,457.26,395.17,15.71
Banheiro,Produto Banheiro 22,43.71,37.78,15.7
Móveis,Produto Móveis 37,19.61,16.95,15.69
Decoração,Produto Decoração 61,689.21,595.9,15.66
Móveis,Produto Móveis 71,818.64,707.85,15.65
Móveis,Produto Móveis 97,766.85,663.05,15.65
Outros,Produto Jardim 6,32.19,27.84,15.62
Iluminação,Produto Iluminação 96,92.74,80.21,15.62
Decoração,Produto Decoração 34,132.67,114.78,15.59
Banheiro,Produto Banheiro 32,707.0,611.84,15.55
Móveis,Produto Móveis 71,818.64,708.58,15.53
Móveis,Produto Móveis 71,818.64,708.6,15.53
Jardim,Produto Jardim 28,514.25,445.59,15.41
Iluminação,Produto Iluminação 95,457.26,396.34,15.37
Iluminação,Produto Iluminação 96,92.74,80.39,15.36
Cozinha,Produto Cozinha 129,796.69,690.74,15.34
Iluminação,Produto Iluminação 101,551.1,477.88,15.32
Banheiro,Produto Banheiro 58,543.89,471.72,15.3
Banheiro,Produto Banheiro 22,43.71,37.92,15.27
Banheiro,Produto Banheiro 57,791.3,686.49,15.27
Cozinha,Produto Cozinha 129,796.69,691.34,15.24
Iluminação,Produto Iluminação 96,92.74,80.48,15.23
Jardim,Produto Jardim 149,657.94,571.04,15.22
Iluminação,Produto Iluminação 81,322.1,279.61,15.2
Jardim,Produto Jardim 149,657.94,571.17,15.19
Jardim,Produto Jardim 46,114.86,99.73,15.17
Banheiro,Produto Banheiro 58,543.89,472.32,15.15
Decoração,Produto Decoração 99,621.17,539.44,15.15
Jardim,Produto Jardim 114,827.46,718.8,15.12
Móveis,Produto Móveis 68,802.33,697.01,15.11
Banheiro,Produto Banheiro 70,318.63,276.81,15.11
Móveis,Produto Móveis 97,766.85,666.32,15.09
Decoração,Produto Decoração 99,621.17,539.87,15.06
Banheiro,Produto Banheiro 29,88.89,77.29,15.01
Jardim,Produto Jardim 121,800.28,695.85,15.01
Iluminação,Produto Iluminação 101,551.1,479.31,14.98
Móveis,Produto Móveis 88,553.72,481.64,14.97
Banheiro,Produto Banheiro 103,521.37,453.61,14.94
Iluminação,Produto Iluminação 101,551.1,479.49,14.93
Banheiro,Produto Banheiro 22,43.71,38.05,14.88
Móveis,Produto Móveis 68,802.33,698.47,14.87
Cozinha,Produto Cozinha 54,357.67,311.4,14.86
Iluminação,Produto Iluminação 95,457.26,398.15,14.85
Outros,Produto Jardim 6,32.19,28.03,14.84
Decoração,Produto Decoração 61,689.21,600.15,14.84
Móveis,Produto Móveis 71,818.64,713.23,14.78
Móveis,Produto Móveis 76,773.4,673.94,14.76
Jardim,Produto Jardim 114,827.46,721.04,14.76
Banheiro,Produto Banheiro 124,372.53,324.64,14.75
Banheiro,Produto Banheiro 103,521.37,454.41,14.74
Jardim,Produto Jardim 114,827.46,721.18,14.74
Móveis,Produto Móveis 35,77.25,67.33,14.73
Banheiro,Produto Banheiro 103,521.37,454.43,14.73
Banheiro,Produto Banheiro 103,521.37,454.42,14.73
Móveis,Produto Móveis 136,690.82,602.11,14.73
Jardim,Produto Jardim 85,49.05,42.76,14.71
Banheiro,Produto Banheiro 57,791.3,689.91,14.7
Banheiro,Produto Banheiro 22,43.71,38.11,14.69
Móveis,Produto Móveis 35,77.25,67.36,14.68
Jardim,Produto Jardim 114,827.46,721.61,14.67
Jardim,Produto Jardim 120,553.97,483.23,14.64
Jardim,Produto Jardim 46,114.86,100.23,14.6
Decoração,Produto Decoração 34,132.67,115.79,14.58
Banheiro,Produto Banheiro 22,43.71,38.15,14.57
Móveis,Produto Móveis 136,690.82,603.05,14.55
Iluminação,Produto Iluminação 95,457.26,399.22,14.54
Jardim,Produto Jardim 149,657.94,574.6,14.5
Jardim,Produto Jardim 46,114.86,100.33,14.48
Cozinha,Produto Cozinha 129,796.69,695.95,14.48
Jardim,Produto Jardim 46,114.86,100.36,14.45
Banheiro,Produto Banheiro 70,318.63,278.45,14.43
Decoração,Produto Decoração 99,621.17,542.83,14.43
Cozinha,Produto Cozinha 129,796.69,696.22,14.43
Móveis,Produto Móveis 136,690.82,603.78,14.42
Cozinha,Produto Cozinha 129,796.69,696.32,14.41
Iluminação,Produto Iluminação 95,457.26,399.8,14.37
Banheiro,Produto Banheiro 124,372.53,325.75,14.36
Móveis,Produto Móveis 88,553.72,484.33,14.33
Móveis,Produto Móveis 136,690.82,604.32,14.31
Iluminação,Produto Iluminação 8,166.82,145.95,14.3
Jardim,Produto Jardim 149,657.94,575.69,14.29
Jardim,Produto Jardim 85,49.05,42.92,14.28
Móveis,Produto Móveis 88,553.72,484.51,14.28
Móveis,Produto Móveis 88,553.72,484.8,14.22
Banheiro,Produto Banheiro 124,372.53,326.16,14.22
Móveis,Produto Móveis 37,19.61,17.17,14.21
Banheiro,Produto Banheiro 58,543.89,476.2,14.21
Iluminação,Produto Iluminação 95,457.26,400.37,14.21
Móveis,Produto Móveis 71,818.64,716.83,14.2
Iluminação,Produto Iluminação 81,322.1,282.05,14.2
Jardim,Produto Jardim 121,800.28,700.77,14.2
Decoração,Produto Decoração 61,689.21,603.59,14.19
Iluminação,Produto Iluminação 96,92.74,81.22,14.18
Jardim,Produto Jardim 28,514.25,450.42,14.17
Outros,Produto Jardim 6,32.19,28.2,14.15
Jardim,Produto Jardim 85,49.05,42.97,14.15
Iluminação,Produto Iluminação 8,166.82,146.18,14.12
Móveis,Produto Móveis 68,802.33,703.13,14.11
Banheiro,Produto Banheiro 103,521.37,456.96,14.1
Móveis,Produto Móveis 35,77.25,67.72,14.07
Jardim,Produto Jardim 85,49.05,43.0,14.07
Jardim,Produto Jardim 149,657.94,576.85,14.06
Decoração,Produto Decoração 34,132.67,116.33,14.05
Banheiro,Produto Banheiro 58,543.89,476.87,14.05
Móveis,Produto Móveis 68,802.33,703.94,13.98
Decoração,Produto Decoração 117,496.71,435.84,13.97
Banheiro,Produto Banheiro 70,318.63,279.6,13.96
Iluminação,Produto Iluminação 95,457.26,401.26,13.96
Iluminação,Produto Iluminação 81,322.1,282.72,13.93
Banheiro,Produto Banheiro 29,88.89,78.03,13.92
Jardim,Produto Jardim 120,553.97,486.26,13.92
Decoração,Produto Decoração 61,689.21,605.1,13.9
Iluminação,Produto Iluminação 8,166.82,146.48,13.89
Iluminação,Produto Iluminação 96,92.74,81.43,13.89
Móveis,Produto Móveis 68,802.33,704.53,13.88
Móveis,Produto Móveis 88,553.72,486.27,13.87
Decoração,Produto Decoração 117,496.71,436.28,13.85
Outros,Produto Jardim 6,32.19,28.28,13.83
Jardim,Produto Jardim 120,553.97,486.73,13.81
Banheiro,Produto Banheiro 22,43.71,38.41,13.8
Outros,Produto Jardim 6,32.19,28.29,13.79
Banheiro,Produto Banheiro 124,372.53,327.45,13.77
Móveis,Produto Móveis 26,824.6,724.83,13.76
Móveis,Produto Móveis 77,135.99,119.55,13.75
Iluminação,Produto Iluminação 96,92.74,81.53,13.75
Decoração,Produto Decoração 61,689.21,606.03,13.73
Móveis,Produto Móveis 37,19.61,17.25,13.68
Iluminação,Produto Iluminação 96,92.74,81.59,13.67
Decoração,Produto Decoração 99,621.17,546.48,13.67
Jardim,Produto Jardim 121,800.28,704.02,13.67
Cozinha,Produto Cozinha 129,796.69,700.96,13.66
Banheiro,Produto Banheiro 57,791.3,696.23,13.65
Banheiro,Produto Banheiro 29,88.89,78.22,13.64
Banheiro,Produto Banheiro 29,88.89,78.23,13.63
Móveis,Produto Móveis 88,553.72,487.33,13.62
Jardim,Produto Jardim 149,657.94,579.07,13.62
Jardim,Produto Jardim 149,657.94,579.05,13.62
Iluminação,Produto Iluminação 101,551.1,485.11,13.6
Jardim,Produto Jardim 120,553.97,487.67,13.6
Banheiro,Produto Banheiro 29,88.89,78.26,13.58
Banheiro,Produto Banheiro 70,318.63,280.55,13.57
Banheiro,Produto Banheiro 32,707.0,622.75,13.53
Jardim,Produto Jardim 66,363.54,320.22,13.53
Móveis,Produto Móveis 76,773.4,681.22,13.53
Jardim,Produto Jardim 66,363.54,320.28,13.51
Banheiro,Produto Banheiro 70,318.63,280.73,13.5
Móveis,Produto Móveis 97,766.85,675.66,13.5
Banheiro,Produto Banheiro 32,707.0,622.96,13.49
Iluminação,Produto Iluminação 95,457.26,402.92,13.49
Banheiro,Produto Banheiro 103,521.37,459.45,13.48
Decoração,Produto Decoração 117,496.71,437.8,13.46
Móveis,Produto Móveis 77,135.99,119.87,13.45
Jardim,Produto Jardim 121,800.28,705.48,13.44
Cozinha,Produto Cozinha 54,357.67,315.33,13.43
Banheiro,Produto Banheiro 70,318.63,281.03,13.38
Jardim,Produto Jardim 120,553.97,488.68,13.36
Outros,Produto Jardim 6,32.19,28.4,13.35
Decoração,Produto Decoração 99,621.17,548.08,13.34
Jardim,Produto Jardim 85,49.05,43.28,13.33
Cozinha,Produto Cozinha 129,796.69,703.02,13.32
Móveis,Produto Móveis 97,766.85,676.77,13.31
Móveis,Produto Móveis 71,818.64,722.75,13.27
Móveis,Produto Móveis 68,802.33,708.37,13.26
Jardim,Produto Jardim 66,363.54,321.04,13.24
Móveis,Produto Móveis 26,824.6,728.3,13.22
Móveis,Produto Móveis 26,824.6,728.33,13.22
Jardim,Produto Jardim 85,49.05,43.35,13.15
Jardim,Produto Jardim 7,710.09,627.6,13.14
Decoração,Produto Decoração 34,132.67,117.27,13.13
Banheiro,Produto Banheiro 29,88.89,78.58,13.12
Banheiro,Produto Banheiro 57,791.3,699.6,13.11
Iluminação,Produto Iluminação 100,755.72,668.2,13.1
Jardim,Produto Jardim 149,657.94,581.75,13.1
Banheiro,Produto Banheiro 32,707.0,625.19,13.09
Cozinha,Produto Cozinha 129,796.69,704.53,13.08
Banheiro,Produto Banheiro 29,88.89,78.62,13.06
Jardim,Produto Jardim 66,363.54,321.55,13.06
Iluminação,Produto Iluminação 101,551.1,487.64,13.01
Decoração,Produto Decoração 64,698.04,617.85,12.98
Móveis,Produto Móveis 136,690.82,611.47,12.98
Jardim,Produto Jardim 28,514.25,455.2,12.97
Banheiro,Produto Banheiro 58,543.89,481.46,12.97
Decoração,Produto Decoração 61,689.21,610.06,12.97
Jardim,Produto Jardim 66,363.54,321.84,12.96
Móveis,Produto Móveis 77,135.99,120.4,12.95
Banheiro,Produto Banheiro 103,521.37,461.63,12.94
Jardim,Produto Jardim 120,553.97,490.62,12.91
Jardim,Produto Jardim 85,49.05,43.46,12.86
Decoração,Produto Decoração 34,132.67,117.56,12.85
Decoração,Produto Decoração 34,132.67,117.56,12.85
Decoração,Produto Decoração 64,698.04,618.53,12.85
Banheiro,Produto Banheiro 144,403.77,357.83,12.84
Jardim,Produto Jardim 7,710.09,629.41,12.82
Iluminação,Produto Iluminação 96,92.74,82.21,12.81
Móveis,Produto Móveis 136,690.82,612.37,12.81
Banheiro,Produto Banheiro 32,707.0,626.78,12.8
Iluminação,Produto Iluminação 95,457.26,405.37,12.8
Iluminação,Produto Iluminação 101,551.1,488.56,12.8
Banheiro,Produto Banheiro 124,372.53,330.26,12.8
Iluminação,Produto Iluminação 96,92.74,82.23,12.78
Banheiro,Produto Banheiro 32,707.0,626.93,12.77
Banheiro,Produto Banheiro 32,707.0,626.97,12.76
Decoração,Produto Decoração 61,689.21,611.27,12.75
Móveis,Produto Móveis 76,773.4,686.07,12.73
Jardim,Produto Jardim 85,49.05,43.53,12.68
Banheiro,Produto Banheiro 124,372.53,330.68,12.66
Banheiro,Produto Banheiro 22,43.71,38.8,12.65
Iluminação,Produto Iluminação 81,322.1,285.94,12.65
Iluminação,Produto Iluminação 82,544.0,482.93,12.65
Móveis,Produto Móveis 35,77.25,68.59,12.63
Jardim,Produto Jardim 46,114.86,101.98,12.63
Banheiro,Produto Banheiro 58,543.89,482.92,12.63
Banheiro,Produto Banheiro 124,372.53,330.75,12.63
Móveis,Produto Móveis 136,690.82,613.37,12.63
Banheiro,Produto Banheiro 70,318.63,282.95,12.61
Iluminação,Produto Iluminação 95,457.26,406.05,12.61
Outros,Produto Banheiro 3,145.28,129.04,12.59
Banheiro,Produto Banheiro 103,521.37,463.06,12.59
Jardim,Produto Jardim 28,514.25,456.79,12.58
Jardim,Produto Jardim 7,710.09,630.81,12.57
Iluminação,Produto Iluminação 81,322.1,286.14,12.57
Móveis,Produto Móveis 71,818.64,727.4,12.54
Iluminação,Produto Iluminação 82,544.0,483.41,12.53
Jardim,Produto Jardim 121,800.28,711.22,12.52
Jardim,Produto Jardim 46,114.86,102.1,12.5
Móveis,Produto Móveis 26,824.6,733.02,12.49
Banheiro,Produto Banheiro 32,707.0,628.52,12.49
Iluminação,Produto Iluminação 81,322.1,286.39,12.47
Iluminação,Produto Iluminação 82,544.0,483.78,12.45
Outros,Produto Banheiro 3,145.28,129.25,12.4
Banheiro,Produto Banheiro 57,791.3,704.06,12.39
Móveis,Produto Móveis 77,135.99,121.0,12.39
Decoração,Produto Decoração 99,621.17,552.71,12.39
Banheiro,Produto Banheiro 70,318.63,283.53,12.38
Jardim,Produto Jardim 120,553.97,492.96,12.38
Banheiro,Produto Banheiro 124,372.53,331.5,12.38
Móveis,Produto Móveis 97,766.85,682.43,12.37
Iluminação,Produto Iluminação 100,755.72,672.58,12.36
Jardim,Produto Jardim 149,657.94,585.61,12.35
Iluminação,Produto Iluminação 100,755.72,672.76,12.33
Banheiro,Produto Banheiro 29,88.89,79.14,12.32
Móveis,Produto Móveis 26,824.6,734.25,12.31
