produto_id,loja_id,data_snapshot,quantidade_disponivel
P0035,L002,2024-01-01,-16
P0036,L002,2024-01-01,129
P0037,L002,2024-01-01,185
P0038,L002,2024-01-01,142
P0039,L002,2024-01-01,195
P0040,L002,2024-01-01,50
P0041,L002,2024-01-01,80
P0042,L002,2024-01-01,166
P0043,L002,2024-01-01,146
P0044,L002,2024-01-01,50
P0045,L002,2024-01-01,109
P0046,L002,2024-01-01,129
P0047,L002,2024-01-01,89
P0048,L002,2024-01-01,126
P0049,L002,2024-01-01,112
P0050,L002,2024-01-01,90
P0051,L002,2024-01-01,157
P0052,L002,2024-01-01,50
P0053,L002,2024-01-01,37
P0054,L002,2024-01-01,70
P0055,L002,2024-01-01,64
P0056,L002,2024-01-01,199
P0057,L002,2024-01-01,141
P0058,L002,2024-01-01,105
P0059,L002,2024-01-01,101
P0060,L002,2024-01-01,1
P0061,L002,2024-01-01,92
P0062,L002,2024-01-01,149
P0063,L002,2024-01-01,128
P0064,L002,2024-01-01,31
P0065,L002,2024-01-01,17
P0066,L002,2024-01-01,38
P0067,L002,2024-01-01,40
P0068,L002,2024-01-01,68
P0069,L002,2024-01-01,17
P0070,L002,2024-01-01,93
P0071,L002,2024-01-01,20
P0072,L002,2024-01-01,132
P0073,L002,2024-01-01,11
P0074,L002,2024-01-01,123
P0075,L002,2024-01-01,49
P0076,L002,2024-01-01,9
P0077,L002,2024-01-01,88
P0078,L002,2024-01-01,84
P0079,L002,2024-01-01,174
P0080,L002,2024-01-01,8
P0081,L002,2024-01-01,165
P0082,L002,2024-01-01,91
P0083,L002,2024-01-01,118
P0084,L002,2024-01-01,139
P0085,L002,2024-01-01,101
P0086,L002,2024-01-01,33
P0087,L002,2024-01-01,109
P0088,L002,2024-01-01,3
P0089,L002,2024-01-01,34
P0090,L002,2024-01-01,106
P0091,L002,2024-01-01,134
P0092,L002,2024-01-01,79
P0093,L002,2024-01-01,19
P0094,L002,2024-01-01,96
P0095,L002,2024-01-01,73
P0096,L002,2024-01-01,133
P0097,L002,2024-01-01,-7
P0098,L002,2024-01-01,106
P0099,L002,2024-01-01,149
P0100,L002,2024-01-01,187
P0101,L002,2024-01-01,166
P0102,L002,2024-01-01,83
P0103,L002,2024-01-01,72
P0104,L002,2024-01-01,78
P0105,L002,2024-01-01,72
P0106,L002,2024-01-01,72
P0107,L002,2024-01-01,35
P0108,L002,2024-01-01,144
P0109,L002,2024-01-01,133
P0110,L002,2024-01-01,6
P0111,L002,2024-01-01,57
P0112,L002,2024-01-01,186
P0113,L002,2024-01-01,10
P0114,L002,2024-01-01,-8
P0115,L002,2024-01-01,107
P0116,L002,2024-01-01,139
P0117,L002,2024-01-01,78
P0118,L002,2024-01-01,153
P0119,L002,2024-01-01,109
P0120,L002,2024-01-01,183
P0121,L002,2024-01-01,5
P0122,L002,2024-01-01,73
P0123,L002,2024-01-01,117
P0124,L002,2024-01-01,5
P0125,L002,2024-01-01,4
P0126,L002,2024-01-01,162
P0127,L002,2024-01-01,15
P0128,L002,2024-01-01,80
P0129,L002,2024-01-01,39
P0130,L002,2024-01-01,157
P0131,L002,2024-01-01,38
P0132,L002,2024-01-01,59
P0133,L002,2024-01-01,162
P0134,L002,2024-01-01,164
P0135,L002,2024-01-01,199
P0136,L002,2024-01-01,2
P0137,L002,2024-01-01,182
P0138,L002,2024-01-01,140
P0139,L002,2024-01-01,174
P0140,L002,2024-01-01,174
P0141,L002,2024-01-01,121
P0142,L002,2024-01-01,49
P0143,L002,2024-01-01,32
P0144,L002,2024-01-01,179
P0145,L002,2024-01-01,14
P0146,L002,2024-01-01,75
P0147,L002,2024-01-01,9
P0148,L002,2024-01-01,23
P0149,L002,2024-01-01,-17
P0150,L002,2024-01-01,117
P0001,L003,2024-01-01,189
P0002,L003,2024-01-01,184
P0003,L003,2024-01-01,193
P0004,L003,2024-01-01,60
P0005,L003,2024-01-01,27
P0006,L003,2024-01-01,32
P0007,L003,2024-01-01,39
P0008,L003,2024-01-01,172
P0009,L003,2024-01-01,192
P0010,L003,2024-01-01,70
P0011,L003,2024-01-01,79
P0012,L003,2024-01-01,127
P0013,L003,2024-01-01,21
P0014,L003,2024-01-01,55
P0015,L003,2024-01-01,48
P0016,L003,2024-01-01,131
P0017,L003,2024-01-01,135
P0018,L003,2024-01-01,119
P0019,L003,2024-01-01,154
P0020,L003,2024-01-01,125
P0021,L003,2024-01-01,15
P0022,L003,2024-01-01,26
P0023,L003,2024-01-01,162
P0024,L003,2024-01-01,46
P0025,L003,2024-01-01,163
P0026,L003,2024-01-01,146
P0027,L003,2024-01-01,85
P0028,L003,2024-01-01,164
P0029,L003,2024-01-01,102
P0030,L003,2024-01-01,72
P0031,L003,2024-01-01,112
P0032,L003,2024-01-01,173
P0033,L003,2024-01-01,56
P0034,L003,2024-01-01,28
P0035,L003,2024-01-01,18
P0036,L003,2024-01-01,125
P0037,L003,2024-01-01,43
P0038,L003,2024-01-01,136
P0039,L003,2024-01-01,189
P0040,L003,2024-01-01,161
P0041,L003,2024-01-01,116
P0042,L003,2024-01-01,108
P0043,L003,2024-01-01,148
P0044,L003,2024-01-01,34
P0045,L003,2024-01-01,177
P0046,L003,2024-01-01,140
P0047,L003,2024-01-01,74
P0048,L003,2024-01-01,161
P0049,L003,2024-01-01,73
P0050,L003,2024-01-01,139
P0051,L003,2024-01-01,157
P0052,L003,2024-01-01,74
P0053,L003,2024-01-01,157
P0054,L003,2024-01-01,9
P0055,L003,2024-01-01,47
P0056,L003,2024-01-01,176
P0057,L003,2024-01-01,7
P0058,L003,2024-01-01,158
P0059,L003,2024-01-01,14
P0060,L003,2024-01-01,124
P0061,L003,2024-01-01,64
P0062,L003,2024-01-01,196
P0063,L003,2024-01-01,119
P0064,L003,2024-01-01,3
P0065,L003,2024-01-01,186
P0066,L003,2024-01-01,173
P0067,L003,2024-01-01,182
P0068,L003,2024-01-01,26
P0069,L003,2024-01-01,64
P0070,L003,2024-01-01,183
P0071,L003,2024-01-01,120
P0072,L003,2024-01-01,161
P0073,L003,2024-01-01,136
P0074,L003,2024-01-01,198
P0075,L003,2024-01-01,37
P0076,L003,2024-01-01,34
P0077,L003,2024-01-01,63
P9064,L003,2024-01-01,199
P0079,L003,2024-01-01,146
P0080,L003,2024-01-01,112
P0081,L003,2024-01-01,-17
P0082,L003,2024-01-01,81
P0083,L003,2024-01-01,102
P0084,L003,2024-01-01,76
P0085,L003,2024-01-01,45
P0086,L003,2024-01-01,32
P0087,L003,2024-01-01,178
P0088,L003,2024-01-01,182
P0089,L003,2024-01-01,162
P0090,L003,2024-01-01,151
P0091,L003,2024-01-01,102
P0092,L003,2024-01-01,143
P0093,L003,2024-01-01,141
P0094,L003,2024-01-01,134
P0095,L003,2024-01-01,134
P0096,L003,2024-01-01,109
P0097,L003,2024-01-01,60
P0098,L003,2024-01-01,68
P0099,L003,2024-01-01,137
P0100,L003,2024-01-01,35
P0101,L003,2024-01-01,106
P0102,L003,2024-01-01,33
P0103,L003,2024-01-01,174
P0104,L003,2024-01-01,164
P0105,L003,2024-01-01,-19
P0106,L003,2024-01-01,22
P0107,L003,2024-01-01,102
P0108,L003,2024-01-01,173
P0109,L003,2024-01-01,15
P0110,L003,2024-01-01,64
P0111,L003,2024-01-01,101
P0112,L003,2024-01-01,128
P0113,L003,2024-01-01,84
P0114,L003,2024-01-01,57
P0115,L003,2024-01-01,188
P0116,L003,2024-01-01,188
P0117,L003,2024-01-01,14
P0118,L003,2024-01-01,163
P0119,L003,2024-01-01,189
P0120,L003,2024-01-01,38
P0121,L003,2024-01-01,84
P0122,L003,2024-01-01,162
P0123,L003,2024-01-01,189
P0124,L003,2024-01-01,59
P0125,L003,2024-01-01,2
P0126,L003,2024-01-01,-18
P0127,L003,2024-01-01,6
P0128,L003,2024-01-01,41
P0129,L003,2024-01-01,48
P0130,L003,2024-01-01,98
P0131,L003,2024-01-01,48
P0132,L003,2024-01-01,9
P0133,L003,2024-01-01,194
P0134,L003,2024-01-01,86
P0135,L003,2024-01-01,9
P0136,L003,2024-01-01,160
P0137,L003,2024-01-01,190
P0138,L003,2024-01-01,119
P0139,L003,2024-01-01,198
P0140,L003,2024-01-01,128
P0141,L003,2024-01-01,160
P0142,L003,2024-01-01,92
P0143,L003,2024-01-01,97
P0144,L003,2024-01-01,47
P0145,L003,2024-01-01,185
P0146,L003,2024-01-01,148
P0147,L003,2024-01-01,153
P0148,L003,2024-01-01,174
P0149,L003,2024-01-01,130
P0150,L003,2024-01-01,132
P0001,L004,2024-01-01,174
P0002,L004,2024-01-01,140
P0003,L004,2024-01-01,155
P0004,L004,2024-01-01,21
P0005,L004,2024-01-01,50
P0006,L004,2024-01-01,185
P0007,L004,2024-01-01,40
P0008,L004,2024-01-01,73
P0009,L004,2024-01-01,179
P0010,L004,2024-01-01,87
P0011,L004,2024-01-01,111
P0012,L004,2024-01-01,170
P0013,L004,2024-01-01,69
P0014,L004,2024-01-01,167
P0015,L004,2024-01-01,23
P0016,L004,2024-01-01,156
P0017,L004,2024-01-01,82
P0018,L004,2024-01-01,104
P0019,L004,2024-01-01,117
P0020,L004,2024-01-01,58
P0021,L004,2024-01-01,150
P0022,L004,2024-01-01,190
P0023,L004,2024-01-01,185
P0024,L004,2024-01-01,1
P0025,L004,2024-01-01,31
P0026,L004,2024-01-01,31
P0027,L004,2024-01-01,105
P0028,L004,2024-01-01,80
P0029,L004,2024-01-01,19
P0030,L004,2024-01-01,180
P0031,L004,2024-01-01,187
P0032,L004,2024-01-01,178
P0033,L004,2024-01-01,86
P0034,L004,2024-01-01,69
P0035,L004,2024-01-01,106
P0036,L004,2024-01-01,107
P0037,L004,2024-01-01,157
P0038,L004,2024-01-01,120
P0039,L004,2024-01-01,15
P0040,L004,2024-01-01,51
P0041,L004,2024-01-01,141
P0042,L004,2024-01-01,114
P0043,L004,2024-01-01,20
P0044,L004,2024-01-01,175
P0045,L004,2024-01-01,132
P0046,L004,2024-01-01,122
P0047,L004,2024-01-01,85
P0048,L004,2024-01-01,47
P0049,L004,2024-01-01,14
P0050,L004,2024-01-01,54
P0051,L004,2024-01-01,56
P0052,L004,2024-01-01,15
P0053,L004,2024-01-01,145
P0054,L004,2024-01-01,7
P0055,L004,2024-01-01,118
P0056,L004,2024-01-01,88
P0057,L004,2024-01-01,61
P0058,L004,2024-01-01,153
P0059,L004,2024-01-01,-1
P0060,L004,2024-01-01,18
P0061,L004,2024-01-01,106
P0062,L004,2024-01-01,108
P0063,L004,2024-01-01,24
P0064,L004,2024-01-01,2
P0065,L004,2024-01-01,55
P0066,L004,2024-01-01,44
P0067,L004,2024-01-01,93
P0068,L004,2024-01-01,75
P0069,L004,2024-01-01,79
P0070,L004,2024-01-01,150
P0071,L004,2024-01-01,92
P0072,L004,2024-01-01,183
P0073,L004,2024-01-01,188
P0074,L004,2024-01-01,62
P0075,L004,2024-01-01,32
P0076,L004,2024-01-01,120
P0077,L004,2024-01-01,132
P0078,L004,2024-01-01,122
P0079,L004,2024-01-01,90
P0080,L004,2024-01-01,53
P0081,L004,2024-01-01,109
P0082,L004,2024-01-01,116
P0083,L004,2024-01-01,146
P0084,L004,2024-01-01,74
P0085,L004,2024-01-01,134
P0086,L004,2024-01-01,181
P0087,L004,2024-01-01,197
P0088,L004,2024-01-01,156
P0089,L004,2024-01-01,167
P0090,L004,2024-01-01,34
P0091,L004,2024-01-01,138
P0092,L004,2024-01-01,148
P0093,L004,2024-01-01,40
P0094,L004,2024-01-01,199
P0095,L004,2024-01-01,192
P0096,L004,2024-01-01,168
P0097,L004,2024-01-01,59
P0098,L004,2024-01-01,57
P0099,L004,2024-01-01,185
P0100,L004,2024-01-01,80
P0101,L004,2024-01-01,138
P0102,L004,2024-01-01,43
P0103,L004,2024-01-01,159
P0104,L004,2024-01-01,177
P0105,L004,2024-01-01,198
P0106,L004,2024-01-01,175
P0107,L004,2024-01-01,57
P0108,L004,2024-01-01,163
P0109,L004,2024-01-01,33
P0110,L004,2024-01-01,-8
P0111,L004,2024-01-01,91
P0112,L004,2024-01-01,53
P0113,L004,2024-01-01,30
P0114,L004,2024-01-01,126
P0115,L004,2024-01-01,112
P0116,L004,2024-01-01,66
P0117,L004,2024-01-01,196
P0118,L004,2024-01-01,90
P0119,L004,2024-01-01,131
P0120,L004,2024-01-01,150
P0121,L004,2024-01-01,161
P0122,L004,2024-01-01,170
P0123,L004,2024-01-01,132
P0124,L004,2024-01-01,174
P0125,L004,2024-01-01,65
P0126,L004,2024-01-01,147
P0127,L004,2024-01-01,39
P0128,L004,2024-01-01,18
P0129,L004,2024-01-01,79
P0130,L004,2024-01-01,56
P0131,L004,2024-01-01,76
P0132,L004,2024-01-01,151
P0133,L004,2024-01-01,110
P0134,L004,2024-01-01,30
P0135,L004,2024-01-01,148
P0136,L004,2024-01-01,134
P0137,L004,2024-01-01,147
P0138,L004,2024-01-01,191
P0139,L004,2024-01-01,182
P0140,L004,2024-01-01,195
P0141,L004,2024-01-01,198
P0142,L004,2024-01-01,32
P0143,L004,2024-01-01,92
P0144,L004,2024-01-01,8
P0145,L004,2024-01-01,43
P0146,L004,2024-01-01,9
P0147,L004,2024-01-01,49
P0148,L004,2024-01-01,91
P0149,L004,2024-01-01,151
P0150,L004,2024-01-01,193
P0001,L005,2024-01-01,87
P0002,L005,2024-01-01,71
P0003,L005,2024-01-01,138
P0004,L005,2024-01-01,182
P0005,L005,2024-01-01,194
P0006,L005,2024-01-01,32
P0007,L005,2024-01-01,60
P0008,L005,2024-01-01,28
P0009,L005,2024-01-01,116
P0010,L005,2024-01-01,87
P0011,L005,2024-01-01,185
P0012,L005,2024-01-01,141
P0013,L005,2024-01-01,41
P0014,L005,2024-01-01,161
P0015,L005,2024-01-01,16
P0016,L005,2024-01-01,121
P0017,L005,2024-01-01,22
P0018,L005,2024-01-01,152
P0019,L005,2024-01-01,41
P0020,L005,2024-01-01,71
P0021,L005,2024-01-01,141
P0022,L005,2024-01-01,170
P0023,L005,2024-01-01,165
P0024,L005,2024-01-01,13
P0025,L005,2024-01-01,120
P0026,L005,2024-01-01,95
P0027,L005,2024-01-01,107
P0028,L005,2024-01-01,157
P0029,L005,2024-01-01,92
P0030,L005,2024-01-01,13
P0031,L005,2024-01-01,85
P0032,L005,2024-01-01,170
P0033,L005,2024-01-01,144
P0034,L005,2024-01-01,15
P0035,L005,2024-01-01,118
P0036,L005,2024-01-01,117
P0037,L005,2024-01-01,184
P0038,L005,2024-01-01,179
P0039,L005,2024-01-01,149
P0040,L005,2024-01-01,174
P0041,L005,2024-01-01,62
P0042,L005,2024-01-01,103
P0043,L005,2024-01-01,138
P0044,L005,2024-01-01,75
P0045,L005,2024-01-01,2
P0046,L005,2024-01-01,38
P0047,L005,2024-01-01,110
P0048,L005,2024-01-01,172
P0049,L005,2024-01-01,130
P0050,L005,2024-01-01,93
P0051,L005,2024-01-01,40
P0052,L005,2024-01-01,192
P0053,L005,2024-01-01,71
P0054,L005,2024-01-01,176
P0055,L005,2024-01-01,145
P0056,L005,2024-01-01,41
P0057,L005,2024-01-01,48
P0058,L005,2024-01-01,135
P0059,L005,2024-01-01,18
P0060,L005,2024-01-01,7
P0061,L005,2024-01-01,4
P0062,L005,2024-01-01,174
P0063,L005,2024-01-01,46
P0064,L005,2024-01-01,70
P0065,L005,2024-01-01,22
P0066,L005,2024-01-01,-3
P0067,L005,2024-01-01,116
P0068,L005,2024-01-01,147
P0069,L005,2024-01-01,61
P0070,L005,2024-01-01,170
P0071,L005,2024-01-01,171
P0072,L005,2024-01-01,176
P0073,L005,2024-01-01,188
P0074,L005,2024-01-01,82
P0075,L005,2024-01-01,96
P0076,L005,2024-01-01,14
P0077,L005,2024-01-01,116
P0078,L005,2024-01-01,96
P0079,L005,2024-01-01,28
P0080,L005,2024-01-01,79
P0081,L005,2024-01-01,76
P0082,L005,2024-01-01,173
P0083,L005,2024-01-01,43
P0084,L005,2024-01-01,198
P0085,L005,2024-01-01,85
P0086,L005,2024-01-01,123
P0087,L005,2024-01-01,74
P0088,L005,2024-01-01,44
P0089,L005,2024-01-01,75
P0090,L005,2024-01-01,69
P0091,L005,2024-01-01,171
P0092,L005,2024-01-01,168
P0093,L005,2024-01-01,67
P0094,L005,2024-01-01,77
P0095,L005,2024-01-01,59
P0096,L005,2024-01-01,12
P0097,L005,2024-01-01,74
P0098,L005,2024-01-01,122
P0099,L005,2024-01-01,164
P0100,L005,2024-01-01,176
P0101,L005,2024-01-01,33
P0102,L005,2024-01-01,1
P0103,L005,2024-01-01,170
P0104,L005,2024-01-01,22
P0105,L005,2024-01-01,139
P0106,L005,2024-01-01,11
P0107,L005,2024-01-01,107
P0108,L005,2024-01-01,85
P0109,L005,2024-01-01,61
P0110,L005,2024-01-01,38
P0111,L005,2024-01-01,60
P0112,L005,2024-01-01,136
P0113,L005,2024-01-01,25
P0114,L005,2024-01-01,158
P0115,L005,2024-01-01,72
P0116,L005,2024-01-01,96
P0117,L005,2024-01-01,175
P0118,L005,2024-01-01,137
P0119,L005,2024-01-01,125
P0120,L005,2024-01-01,30
P0121,L005,2024-01-01,54
P0122,L005,2024-01-01,-5
P0123,L005,2024-01-01,166
P0124,L005,2024-01-01,130
P0125,L005,2024-01-01,101
P0126,L005,2024-01-01,37
P0127,L005,2024-01-01,47
P0128,L005,2024-01-01,162
P0129,L005,2024-01-01,174
P0130,L005,2024-01-01,92
P0131,L005,2024-01-01,83
P0132,L005,2024-01-01,74
P0133,L005,2024-01-01,93
P0134,L005,2024-01-01,2
P0135,L005,2024-01-01,134
P0136,L005,2024-01-01,102
P0137,L005,2024-01-01,147
P0138,L005,2024-01-01,144
P0139,L005,2024-01-01,29
P0140,L005,2024-01-01,163
P0141,L005,2024-01-01,44
P0142,L005,2024-01-01,195
P0143,L005,2024-01-01,97
P0144,L005,2024-01-01,72
P0145,L005,2024-01-01,144
P0146,L005,2024-01-01,28
P0147,L005,2024-01-01,68
P0148,L005,2024-01-01,18
P0149,L005,2024-01-01,165
P0150,L005,2024-01-01,101
P0001,L006,2024-01-01,70
P0002,L006,2024-01-01,85
P0003,L006,2024-01-01,35
P0004,L006,2024-01-01,182
P0005,L006,2024-01-01,178
P0006,L006,2024-01-01,84
P0007,L006,2024-01-01,101
P0008,L006,2024-01-01,-2
P0009,L006,2024-01-01,187
P0010,L006,2024-01-01,11
P0011,L006,2024-01-01,35
P0012,L006,2024-01-01,176
P0013,L006,2024-01-01,155
P0014,L006,2024-01-01,95
P0015,L006,2024-01-01,99
P0016,L006,2024-01-01,137
P0017,L006,2024-01-01,19
P0018,L006,2024-01-01,188
P0019,L006,2024-01-01,109
P0020,L006,2024-01-01,86
P0021,L006,2024-01-01,3
P0022,L006,2024-01-01,195
P0023,L006,2024-01-01,173
P0024,L006,2024-01-01,18
P0025,L006,2024-01-01,106
P0026,L006,2024-01-01,93
P0027,L006,2024-01-01,176
P0028,L006,2024-01-01,119
P0029,L006,2024-01-01,143
P0030,L006,2024-01-01,68
P0031,L006,2024-01-01,18
P0032,L006,2024-01-01,50
P0033,L006,2024-01-01,186
P0034,L006,2024-01-01,129
P0035,L006,2024-01-01,161
P0036,L006,2024-01-01,39
P0037,L006,2024-01-01,12
P0038,L006,2024-01-01,120
P0039,L006,2024-01-01,181
P0040,L006,2024-01-01,8
P0041,L006,2024-01-01,17
P0042,L006,2024-01-01,114
P0043,L006,2024-01-01,57
P0044,L006,2024-01-01,130
P0045,L006,2024-01-01,32
P0046,L006,2024-01-01,179
P0047,L006,2024-01-01,92
P0048,L006,2024-01-01,139
P0049,L006,2024-01-01,135
P0050,L006,2024-01-01,70
P0051,L006,2024-01-01,5
P0052,L006,2024-01-01,68
P0053,L006,2024-01-01,138
P0054,L006,2024-01-01,198
P0055,L006,2024-01-01,53
P0056,L006,2024-01-01,133
P0057,L006,2024-01-01,79
P0058,L006,2024-01-01,63
P0059,L006,2024-01-01,27
P0060,L006,2024-01-01,81
P0061,L006,2024-01-01,18
P0062,L006,2024-01-01,97
P0063,L006,2024-01-01,155
P0064,L006,2024-01-01,123
P0065,L006,2024-01-01,173
P0066,L006,2024-01-01,53
P0067,L006,2024-01-01,67
P0068,L006,2024-01-01,44
P0069,L006,2024-01-01,170
P0070,L006,2024-01-01,97
P0071,L006,2024-01-01,190
P0072,L006,2024-01-01,159
P0073,L006,2024-01-01,69
P0074,L006,2024-01-01,80
P0075,L006,2024-01-01,31
P0076,L006,2024-01-01,30
P0077,L006,2024-01-01,166
P0078,L006,2024-01-01,22
P0079,L006,2024-01-01,159
P0080,L006,2024-01-01,83
P0081,L006,2024-01-01,170
P0082,L006,2024-01-01,96
P0083,L006,2024-01-01,95
P0084,L006,2024-01-01,41
P0085,L006,2024-01-01,192
P0086,L006,2024-01-01,73
P0087,L006,2024-01-01,132
P0088,L006,2024-01-01,93
P0089,L006,2024-01-01,87
P0090,L006,2024-01-01,105
P0091,L006,2024-01-01,144
P0092,L006,2024-01-01,28
P0093,L006,2024-01-01,92
P0094,L006,2024-01-01,94
P0095,L006,2024-01-01,114
P0096,L006,2024-01-01,147
P0097,L006,2024-01-01,116
P0098,L006,2024-01-01,167
P0099,L006,2024-01-01,164
P0100,L006,2024-01-01,183
P0101,L006,2024-01-01,142
P0102,L006,2024-01-01,21
P0103,L006,2024-01-01,82
P0104,L006,2024-01-01,17
P0105,L006,2024-01-01,80
P0106,L006,2024-01-01,98
P0107,L006,2024-01-01,5
P0108,L006,2024-01-01,154
P0109,L006,2024-01-01,165
P0110,L006,2024-01-01,28
P0111,L006,2024-01-01,71
P0112,L006,2024-01-01,56
P0113,L006,2024-01-01,39
P0114,L006,2024-01-01,111
P0115,L006,2024-01-01,25
P0116,L006,2024-01-01,108
P0117,L006,2024-01-01,48
P0118,L006,2024-01-01,170
P0119,L006,2024-01-01,171
P0120,L006,2024-01-01,140
