produto_id,nome_produto,categoria,preco_tabela,custo,ativo
55,Produto Jardim 55,Jardim,2183.63,1150.65,1
56,Produto Decoração 56,Decoração,2323.71,1455.99,1
57,Produto Banheiro 57,Banheiro,518.85,256.06,1
58,Produto Banheiro 58,Banheiro,1631.7,867.13,1
59,Produto Jardim 59,Jardim,1139.69,540.64,1
60,Produto Móveis 60,Móveis,858.45,494.89,1
61,Produto Decoração 61,Decoração,1479.33,594.92,1
62,Produto Banheiro 62,Banheiro,1585.14,742.93,1
63,Produto Móveis 63,Móveis,2151.9,906.5,1
64,Produto Decoração 64,Decoração,710.62,387.73,1
65,Produto Jardim 65,Jardim,348.13,236.96,1
66,Produto Jardim 66,Jardim,1449.0,685.23,1
67,Produto Cozinha 67,Cozinha,2022.59,924.57,1
68,Produto Móveis 68,Móveis,1654.28,837.54,1
69,Produto Cozinha 69,Cozinha,1178.22,728.99,1
70,Produto Banheiro 70,Banheiro,1640.57,974.26,1
71,Produto Móveis 71,Móveis,1018.5,511.07,1
72,Produto Móveis 72,Móveis,636.67,291.0,1
73,Produto Cozinha 73,Cozinha,367.65,167.3,1
74,Produto Cozinha 74,Cozinha,639.52,432.94,1
75,Produto Cozinha 75,Cozinha,2023.9,1329.28,1
76,Produto Móveis 76,Móveis,145.46,101.79,1
77,Produto Móveis 77,Móveis,2423.11,1642.65,1
78,Produto Decoração 78,Decoração,432.45,235.98,1
79,Produto Decoração 79,Decoração,2164.33,1451.69,1
80,Produto Decoração 80,Decoração,959.85,667.66,1
81,Produto Iluminação 81,Iluminação,2317.76,1473.03,1
82,Produto Iluminação 82,Iluminação,1069.06,734.65,1
83,Produto Jardim 83,Jardim,1661.44,907.15,1
84,Produto Decoração 84,Decoração,755.84,521.99,1
85,Produto Jardim 85,Jardim,1844.63,771.59,1
86,Produto Iluminação 86,Iluminação,161.77,93.06,1
87,Produto Jardim 87,Jardim,2300.08,1286.52,1
88,Produto Móveis 88,Móveis,2402.73,1018.84,1
89,Produto Decoração 89,Decoração,189.93,79.84,1
90,Produto Decoração 90,Decoração,1021.36,697.06,1
91,Produto Jardim 91,Jardim,630.61,364.72,1
92,Produto Jardim 92,Jardim,223.32,133.37,1
93,Produto Jardim 93,Jardim,1316.5,895.76,1
94,Produto Decoração 94,Decoração,1680.92,830.8,1
95,Produto Iluminação 95,Iluminação,1001.55,602.44,1
96,Produto Iluminação 96,Iluminação,1153.92,783.17,1
97,Produto Móveis 97,Móveis,43.1,25.27,1
98,Produto Jardim 98,Jardim,2490.32,1050.86,1
99,Produto Decoração 99,Decoração,1274.59,560.48,1
100,Produto Iluminação 100,Iluminação,2204.54,1463.33,1
101,Produto Iluminação 101,Iluminação,726.77,386.25,1
102,Produto Jardim 102,Jardim,1764.78,1029.76,1
103,Produto Banheiro 103,Banheiro,1331.77,799.54,1
104,Produto Jardim 104,Jardim,762.46,456.73,1
105,Produto Decoração 105,Decoração,675.88,450.75,1
106,Produto Banheiro 106,Banheiro,1391.99,670.53,1
107,Produto Jardim 107,Jardim,542.36,272.73,1
108,Produto Banheiro 108,Banheiro,1592.91,763.31,1
109,Produto Cozinha 109,Cozinha,642.78,432.24,1
110,Produto Móveis 110,Móveis,248.9,131.19,1
111,Produto Iluminação 111,Iluminação,129.34,64.68,1
112,Produto Decoração 112,Decoração,1600.04,765.76,1
113,Produto Banheiro 113,Banheiro,1115.75,682.5,1
114,Produto Jardim 114,Jardim,43.98,18.58,1
115,Produto Banheiro 115,Banheiro,2261.74,1274.89,1
116,Produto Iluminação 116,Iluminação,1464.62,650.92,1
117,Produto Decoração 117,Decoração,123.74,63.03,1
118,Produto Móveis 118,Móveis,2249.33,1041.49,1
119,Produto Decoração 119,Decoração,1673.99,847.21,1
120,Produto Jardim 120,Jardim,2212.65,1154.81,1
121,Produto Jardim 121,Jardim,1878.7,1273.25,1
122,Produto Decoração 122,Decoração,2164.22,1499.51,1
123,Produto Decoração 123,Decoração,2205.91,898.77,1
124,Produto Banheiro 124,Banheiro,2312.73,1467.93,1
125,Produto Cozinha 125,Cozinha,2009.54,1324.73,1
126,Produto Decoração 126,Decoração,681.68,433.69,1
127,Produto Móveis 127,Móveis,968.7,398.73,1
128,Produto Cozinha 128,Cozinha,571.64,368.69,1
129,Produto Cozinha 129,Cozinha,887.15,573.24,1
130,Produto Decoração 130,Decoração,572.85,342.57,1
131,Produto Cozinha 131,Cozinha,834.09,549.92,1
132,Produto Iluminação 132,Iluminação,890.84,492.48,1
133,Produto Banheiro 133,Banheiro,2453.25,1375.94,1
134,Produto Móveis 134,Móveis,306.05,211.52,1
135,Produto Decoração 135,Decoração,1459.86,1014.7,1
136,Produto Móveis 136,Móveis,288.84,153.19,1
137,Produto Banheiro 137,Banheiro,1970.34,1046.09,1
138,Produto Jardim 138,Jardim,306.8,205.51,1
139,Produto Decoração 139,Decoração,651.71,399.26,1
140,Produto Móveis 140,Móveis,1309.4,840.57,1
141,Produto Banheiro 141,Banheiro,1804.19,1123.26,1
142,Produto Banheiro 142,Banheiro,508.65,269.27,1
143,Produto Banheiro 143,Banheiro,2303.51,1352.04,1
144,Produto Banheiro 144,Banheiro,2123.08,1307.66,1
145,Produto Iluminação 145,Iluminação,1277.66,766.68,1
146,Produto Iluminação 146,Iluminação,1017.95,497.47,1
147,Produto Decoração 147,Decoração,495.76,297.2,1
148,Produto Cozinha 148,Cozinha,1699.75,1140.26,1
149,Produto Jardim 149,Jardim,1431.38,746.93,1
150,Produto Móveis 150,Móveis,773.61,358.22,1
