data,categoria,dispositivo,visualizacoes,add_carrinho,checkout_iniciado,compra_concluida
2024-01-05,Jardim e Área Externa,desktop,80,14,6,4
2024-01-05,Organização,mobile,238,51,23,18
2024-01-05,Organização,desktop,200,49,24,17
2024-01-05,Elétrica,mobile,110,20,10,4
2024-01-05,Elétrica,desktop,83,18,10,4
2024-01-05,Hidráulica,mobile,136,35,16,7
2024-01-05,Hidráulica,desktop,99,20,10,4
2024-01-05,Pintura e Acabamento,mobile,246,61,34,20
2024-01-05,Pintura e Acabamento,desktop,162,34,17,11
2024-01-05,Segurança,mobile,241,63,32,9
2024-01-05,Segurança,desktop,231,42,19,5
2024-01-06,Ferramentas,mobile,170,33,18,11
2024-01-06,Ferramentas,desktop,292,73,37,22
2024-01-06,Iluminação,mobile,213,52,23,17
2024-01-06,Iluminação,desktop,137,38,21,14
2024-01-06,Utilidades Domésticas,mobile,132,34,16,13
2024-01-06,Utilidades Domésticas,desktop,88,17,7,4
2024-01-06,Jardim e Área Externa,mobile,84,22,11,7
2024-01-06,Jardim e Área Externa,desktop,224,59,31,22
2024-01-06,Organização,mobile,244,45,21,13
2024-01-06,Organização,desktop,251,52,24,16
2024-01-06,Elétrica,mobile,252,62,33,11
2024-01-06,Elétrica,desktop,179,44,24,9
2024-01-06,Hidráulica,mobile,248,61,32,13
2024-01-06,Hidráulica,desktop,160,36,18,7
2024-01-06,Pintura e Acabamento,mobile,230,43,23,14
2024-01-06,Pintura e Acabamento,desktop,216,48,27,16
2024-01-06,Segurança,mobile,280,65,32,9
2024-01-06,Segurança,desktop,259,59,32,9
2024-01-07,Ferramentas,mobile,284,70,35,22
2024-01-07,Ferramentas,desktop,221,51,28,16
2024-01-07,Iluminação,mobile,240,52,24,14
2024-01-07,Iluminação,desktop,235,56,30,21
2024-01-07,Utilidades Domésticas,mobile,274,58,31,20
2024-01-07,Utilidades Domésticas,desktop,202,41,19,12
2024-01-07,Jardim e Área Externa,mobile,98,25,11,6
2024-01-07,Jardim e Área Externa,desktop,239,54,29,21
2024-01-07,Organização,mobile,116,21,12,9
2024-01-07,Organização,desktop,207,53,24,15
2024-01-07,Elétrica,mobile,81,18,8,2
2024-01-07,Elétrica,desktop,146,28,16,6
2024-01-07,Hidráulica,mobile,266,52,29,12
2024-01-07,Hidráulica,desktop,196,45,26,9
2024-01-07,Pintura e Acabamento,mobile,281,62,33,20
2024-01-07,Pintura e Acabamento,desktop,145,35,15,11
2024-01-07,Segurança,mobile,162,34,15,4
2024-01-07,Segurança,desktop,200,42,22,6
2024-01-08,Ferramentas,mobile,249,46,22,13
2024-01-08,Ferramentas,desktop,128,23,13,8
2024-01-08,Iluminação,mobile,273,57,29,18
2024-01-08,Iluminação,desktop,269,51,30,23
2024-01-08,Utilidades Domésticas,mobile,166,38,17,10
2024-01-08,Utilidades Domésticas,desktop,197,39,18,14
2024-01-08,Jardim e Área Externa,mobile,142,25,13,7
2024-01-08,Jardim e Área Externa,desktop,177,40,19,13
2024-01-08,Organização,mobile,183,38,20,16
2024-01-08,Organização,desktop,272,66,30,23
2024-01-08,Elétrica,mobile,135,30,16,6
2024-01-08,Elétrica,desktop,285,69,34,12
2024-01-08,Hidráulica,mobile,288,77,39,15
2024-01-08,Hidráulica,desktop,180,43,25,9
2024-01-08,Pintura e Acabamento,mobile,262,50,27,15
2024-01-08,Pintura e Acabamento,desktop,137,25,13,9
2024-01-08,Segurança,mobile,289,59,30,9
2024-01-08,Segurança,desktop,264,55,32,10
2024-01-09,Ferramentas,mobile,98,20,11,6
2024-01-09,Ferramentas,desktop,111,26,14,9
2024-01-09,Iluminação,mobile,131,27,15,10
2024-01-09,Iluminação,desktop,98,25,13,8
2024-01-09,Utilidades Domésticas,mobile,142,29,15,11
2024-01-09,Utilidades Domésticas,desktop,195,47,25,21
2024-01-09,Jardim e Área Externa,mobile,249,62,28,16
2024-01-09,Jardim e Área Externa,desktop,274,69,36,22
2024-01-09,Organização,mobile,128,26,13,10
2024-01-09,Organização,desktop,258,61,28,20
2024-01-09,Elétrica,mobile,154,32,14,5
2024-01-09,Elétrica,desktop,84,20,9,3
2024-01-09,Hidráulica,mobile,177,43,24,8
2024-01-09,Hidráulica,desktop,239,63,35,17
2024-01-09,Pintura e Acabamento,mobile,102,25,14,10
2024-01-09,Pintura e Acabamento,desktop,258,48,22,13
2024-01-09,Segurança,mobile,276,76,45,14
2024-01-09,Segurança,desktop,294,58,28,10
2024-01-10,Ferramentas,mobile,259,66,34,22
2024-01-10,Ferramentas,desktop,101,21,9,6
2024-01-10,Iluminação,mobile,264,72,36,24
2024-01-10,Iluminação,desktop,284,60,31,21
2024-01-10,Utilidades Domésticas,mobile,108,28,13,9
2024-01-10,Utilidades Domésticas,desktop,218,59,27,22
2024-01-10,Jardim e Área Externa,mobile,142,29,16,8
2024-01-10,Jardim e Área Externa,desktop,240,49,24,15
2024-01-10,Organização,mobile,213,45,26,19
2024-01-10,Organização,desktop,185,39,22,17
2024-01-10,Elétrica,mobile,162,38,19,6
2024-01-10,Elétrica,desktop,261,71,40,16
2024-01-10,Hidráulica,mobile,250,58,30,13
2024-01-10,Hidráulica,desktop,97,18,8,3
2024-01-10,Pintura e Acabamento,mobile,86,18,10,7
2024-01-10,Pintura e Acabamento,desktop,241,43,20,13
2024-01-10,Segurança,mobile,90,17,10,3
2024-01-10,Segurança,desktop,259,68,34,10
2024-01-11,Ferramentas,mobile,241,51,23,13
2024-01-11,Ferramentas,desktop,276,59,29,17
2024-01-11,Iluminação,mobile,286,61,29,23
2024-01-11,Iluminação,desktop,190,35,19,12
2024-01-11,Utilidades Domésticas,mobile,241,55,31,22
2024-01-11,Utilidades Domésticas,desktop,88,18,10,7
2024-01-11,Jardim e Área Externa,mobile,179,45,20,12
2024-01-11,Jardim e Área Externa,desktop,92,18,8,5
2024-01-11,Organização,mobile,195,49,27,21
2024-01-11,Organização,desktop,191,37,17,13
2024-01-11,Elétrica,mobile,117,26,14,5
2024-01-11,Elétrica,desktop,173,39,19,7
2024-01-11,Hidráulica,mobile,210,38,21,9
2024-01-11,Hidráulica,desktop,198,51,29,10
2024-01-11,Pintura e Acabamento,mobile,104,22,12,7
2024-01-11,Pintura e Acabamento,desktop,251,55,26,19
2024-01-11,Segurança,mobile,126,25,13,3
2024-01-11,Segurança,desktop,164,43,21,5
2024-01-12,Ferramentas,mobile,109,30,17,9
2024-01-12,Ferramentas,desktop,138,37,20,12
2024-01-12,Iluminação,mobile,247,50,23,15
2024-01-12,Iluminação,desktop,288,68,37,23
2024-01-12,Utilidades Domésticas,mobile,231,44,25,18
2024-01-12,Utilidades Domésticas,desktop,173,47,26,21
2024-01-12,Jardim e Área Externa,mobile,248,68,31,17
2024-01-12,Jardim e Área Externa,desktop,218,46,23,13
2024-01-12,Organização,mobile,282,76,41,28
2024-01-12,Organização,desktop,117,22,11,8
2024-01-12,Elétrica,mobile,278,65,38,15
2024-01-12,Elétrica,desktop,283,73,37,12
2024-01-12,Hidráulica,mobile,137,31,17,7
2024-01-12,Hidráulica,desktop,236,43,24,9
2024-01-12,Pintura e Acabamento,mobile,258,60,35,20
2024-01-12,Pintura e Acabamento,desktop,234,59,29,20
2024-01-12,Segurança,mobile,241,61,28,7
2024-01-12,Segurança,desktop,269,58,32,10
2024-01-13,Ferramentas,mobile,291,61,33,18
2024-01-13,Ferramentas,desktop,196,41,20,13
2024-01-13,Iluminação,mobile,136,33,17,12
2024-01-13,Iluminação,desktop,160,32,17,11
2024-01-13,Utilidades Domésticas,mobile,143,33,19,15
2024-01-13,Utilidades Domésticas,desktop,224,59,28,21
2024-01-13,Jardim e Área Externa,mobile,82,20,9,5
2024-01-13,Jardim e Área Externa,desktop,230,46,24,13
2024-01-13,Organização,mobile,145,26,14,9
2024-01-13,Organização,desktop,191,47,24,17
2024-01-13,Elétrica,mobile,187,40,18,7
2024-01-13,Elétrica,desktop,209,38,20,7
2024-01-13,Hidráulica,mobile,144,39,20,8
2024-01-13,Hidráulica,desktop,245,61,29,12
2024-01-13,Pintura e Acabamento,mobile,116,22,10,7
2024-01-13,Pintura e Acabamento,desktop,134,25,12,9
2024-01-13,Segurança,mobile,99,20,10,3
2024-01-13,Segurança,desktop,225,56,33,11
2024-01-14,Ferramentas,mobile,113,27,13,7
2024-01-14,Ferramentas,desktop,208,54,28,15
2024-01-14,Iluminação,mobile,197,36,20,15
2024-01-14,Iluminação,desktop,134,31,15,11
2024-01-14,Utilidades Domésticas,mobile,227,51,25,16
2024-01-14,Utilidades Domésticas,desktop,290,67,33,28
2024-01-14,Jardim e Área Externa,mobile,239,55,27,17
2024-01-14,Jardim e Área Externa,desktop,234,49,24,16
2024-01-14,Organização,mobile,249,63,29,19
2024-01-14,Organização,desktop,192,43,19,12
2024-01-14,Elétrica,mobile,254,64,31,11
2024-01-14,Elétrica,desktop,183,40,20,6
2024-01-14,Hidráulica,mobile,135,29,16,6
2024-01-14,Hidráulica,desktop,88,17,9,3
2024-01-14,Pintura e Acabamento,mobile,162,29,13,8
2024-01-14,Pintura e Acabamento,desktop,206,48,21,13
2024-01-14,Segurança,mobile,160,44,24,8
2024-01-14,Segurança,desktop,251,51,27,9
2024-01-15,Ferramentas,mobile,151,37,21,11
2024-01-15,Ferramentas,desktop,187,37,16,9
2024-01-15,Iluminação,mobile,202,46,21,16
2024-01-15,Iluminação,desktop,293,55,28,21
2024-01-15,Utilidades Domésticas,mobile,280,75,34,29
2024-01-15,Utilidades Domésticas,desktop,240,55,25,16
2024-01-15,Jardim e Área Externa,mobile,108,28,14,7
2024-01-15,Jardim e Área Externa,desktop,248,68,33,22
2024-01-15,Organização,mobile,210,48,23,17
2024-01-15,Organização,desktop,255,55,29,20
2024-01-15,Elétrica,mobile,179,40,22,9
2024-01-15,Elétrica,desktop,96,20,11,4
2024-01-15,Hidráulica,mobile,211,58,27,10
2024-01-15,Hidráulica,desktop,260,53,29,11
2024-01-15,Pintura e Acabamento,mobile,202,36,20,14
2024-01-15,Pintura e Acabamento,desktop,123,34,19,11
2024-01-15,Segurança,mobile,99,22,11,3
2024-01-15,Segurança,desktop,192,42,20,6
2024-01-16,Ferramentas,mobile,181,34,20,10
2024-01-16,Ferramentas,desktop,139,28,14,7
2024-01-16,Iluminação,mobile,231,46,23,17
2024-01-16,Iluminação,desktop,286,76,38,22
2024-01-16,Utilidades Domésticas,mobile,169,45,24,18
2024-01-16,Utilidades Domésticas,desktop,122,24,13,8
2024-01-16,Jardim e Área Externa,mobile,147,36,19,10
2024-01-16,Jardim e Área Externa,desktop,171,42,20,14
2024-01-16,Organização,mobile,109,26,13,8
2024-01-16,Organização,desktop,296,76,44,34
2024-01-16,Elétrica,mobile,194,47,24,9
2024-01-16,Elétrica,desktop,298,65,31,12
2024-01-16,Hidráulica,mobile,90,23,12,5
2024-01-16,Hidráulica,desktop,196,37,21,8
2024-01-16,Pintura e Acabamento,mobile,215,40,21,15
2024-01-16,Pintura e Acabamento,desktop,277,51,28,16
2024-01-16,Segurança,mobile,153,40,20,5
2024-01-16,Segurança,desktop,124,24,11,3
2024-01-17,Ferramentas,mobile,193,46,25,13
2024-01-17,Ferramentas,desktop,147,36,16,9
2024-01-17,Iluminação,mobile,120,22,12,8
2024-01-17,Iluminação,desktop,236,56,30,23
2024-01-17,Utilidades Domésticas,mobile,270,52,25,20
2024-01-17,Utilidades Domésticas,desktop,217,41,21,14
2024-01-17,Jardim e Área Externa,mobile,299,71,35,20
2024-01-17,Jardim e Área Externa,desktop,120,26,12,8
2024-01-17,Organização,mobile,116,29,16,13
2024-01-17,Organização,desktop,94,23,13,8
2024-01-17,Elétrica,mobile,248,63,36,14
2024-01-17,Elétrica,desktop,164,32,14,5
2024-01-17,Hidráulica,mobile,113,20,10,4
2024-01-17,Hidráulica,desktop,215,42,19,7
2024-01-17,Pintura e Acabamento,mobile,97,18,9,6
2024-01-17,Pintura e Acabamento,desktop,174,43,25,14
2024-01-17,Segurança,mobile,290,58,31,9
2024-01-17,Segurança,desktop,131,34,19,5
2024-01-18,Ferramentas,mobile,140,25,14,7
2024-01-18,Ferramentas,desktop,216,49,27,14
2024-01-18,Iluminação,mobile,104,23,11,6
2024-01-18,Iluminação,desktop,249,52,26,15
2024-01-18,Utilidades Domésticas,mobile,174,33,17,11
2024-01-18,Utilidades Domésticas,desktop,120,31,17,11
2024-01-18,Jardim e Área Externa,mobile,288,63,34,24
2024-01-18,Jardim e Área Externa,desktop,132,34,18,11
2024-01-18,Organização,mobile,110,22,11,8
2024-01-18,Organização,desktop,249,69,37,23
2024-01-18,Elétrica,mobile,85,22,10,4
2024-01-18,Elétrica,desktop,289,72,40,14
2024-01-18,Hidráulica,mobile,95,22,12,4
2024-01-18,Hidráulica,desktop,210,45,26,11
2024-01-18,Pintura e Acabamento,mobile,104,27,12,9
2024-01-18,Pintura e Acabamento,desktop,157,29,16,10
2024-01-18,Segurança,mobile,240,55,28,8
2024-01-18,Segurança,desktop,136,30,15,4
2024-01-19,Ferramentas,mobile,81,18,10,5
2024-01-19,Ferramentas,desktop,297,70,33,19
2024-01-19,Iluminação,mobile,194,37,21,16
2024-01-19,Iluminação,desktop,87,21,10,5
2024-01-19,Utilidades Domésticas,mobile,157,35,16,10
2024-01-19,Utilidades Domésticas,desktop,133,33,16,13
2024-01-19,Jardim e Área Externa,mobile,203,37,19,13
2024-01-19,Jardim e Área Externa,desktop,130,27,14,10
2024-01-19,Organização,mobile,207,37,20,13
2024-01-19,Organização,desktop,286,63,28,21
2024-01-19,Elétrica,mobile,134,24,12,4
2024-01-19,Elétrica,desktop,291,61,35,15
2024-01-19,Hidráulica,mobile,140,37,20,7
2024-01-19,Hidráulica,desktop,189,35,17,6
2024-01-19,Pintura e Acabamento,mobile,234,47,23,15
2024-01-19,Pintura e Acabamento,desktop,238,46,22,15
2024-01-19,Segurança,mobile,247,63,30,9
2024-01-19,Segurança,desktop,290,54,27,8
2024-01-20,Ferramentas,mobile,218,46,22,12
2024-01-20,Ferramentas,desktop,237,44,21,11
2024-01-20,Iluminação,mobile,221,47,24,15
2024-01-20,Iluminação,desktop,195,50,26,19
2024-01-20,Utilidades Domésticas,mobile,255,64,35,25
2024-01-20,Utilidades Domésticas,desktop,204,54,27,20
2024-01-20,Jardim e Área Externa,mobile,267,68,40,28
2024-01-20,Jardim e Área Externa,desktop,159,43,21,14
2024-01-20,Organização,mobile,126,34,15,11
2024-01-20,Organização,desktop,186,42,21,14
2024-01-20,Elétrica,mobile,105,26,14,5
2024-01-20,Elétrica,desktop,200,39,17,6
2024-01-20,Hidráulica,mobile,83,19,9,3
2024-01-20,Hidráulica,desktop,205,41,23,8
2024-01-20,Pintura e Acabamento,mobile,124,28,12,8
2024-01-20,Pintura e Acabamento,desktop,124,28,16,11
2024-01-20,Segurança,mobile,115,29,13,4
2024-01-20,Segurança,desktop,189,36,17,5
2024-01-21,Ferramentas,mobile,243,44,22,13
2024-01-21,Ferramentas,desktop,277,59,29,16
2024-01-21,Iluminação,mobile,143,37,18,13
2024-01-21,Iluminação,desktop,135,35,18,13
2024-01-21,Utilidades Domésticas,mobile,106,21,9,6
2024-01-21,Utilidades Domésticas,desktop,84,19,10,7
2024-01-21,Jardim e Área Externa,mobile,247,59,31,23
2024-01-21,Jardim e Área Externa,desktop,270,49,25,18
2024-01-21,Organização,mobile,286,74,36,23
2024-01-21,Organização,desktop,96,20,10,7
2024-01-21,Elétrica,mobile,124,31,16,6
2024-01-21,Elétrica,desktop,155,38,17,5
2024-01-21,Hidráulica,mobile,254,58,27,13
2024-01-21,Hidráulica,desktop,99,19,8,3
2024-01-21,Pintura e Acabamento,mobile,197,54,29,18
2024-01-21,Pintura e Acabamento,desktop,243,54,25,15
2024-01-21,Segurança,mobile,119,32,15,5
2024-01-21,Segurança,desktop,268,65,31,9
2024-01-22,Ferramentas,mobile,174,31,17,8
2024-01-22,Ferramentas,desktop,142,34,16,11
2024-01-22,Iluminação,mobile,125,25,11,6
2024-01-22,Iluminação,desktop,233,50,26,15
2024-01-22,Utilidades Domésticas,mobile,208,52,24,16
2024-01-22,Utilidades Domésticas,desktop,239,55,24,17
2024-01-22,Jardim e Área Externa,mobile,125,32,16,9
2024-01-22,Jardim e Área Externa,desktop,131,28,16,9
2024-01-22,Organização,mobile,162,34,18,14
2024-01-22,Organização,desktop,122,29,16,11
2024-01-22,Elétrica,mobile,132,25,13,5
2024-01-22,Elétrica,desktop,282,74,39,13
2024-01-22,Hidráulica,mobile,233,55,30,13
2024-01-22,Hidráulica,desktop,154,33,15,7
2024-01-22,Pintura e Acabamento,mobile,279,60,32,21
2024-01-22,Pintura e Acabamento,desktop,183,40,23,13
2024-01-22,Segurança,mobile,281,62,31,10
2024-01-22,Segurança,desktop,278,62,35,12
2024-01-23,Ferramentas,mobile,121,29,13,7
2024-01-23,Ferramentas,desktop,116,30,13,8
2024-01-23,Iluminação,mobile,294,56,29,20
2024-01-23,Iluminação,desktop,266,63,31,24
2024-01-23,Utilidades Domésticas,mobile,259,56,26,16
2024-01-23,Utilidades Domésticas,desktop,190,49,22,14
2024-01-23,Jardim e Área Externa,mobile,227,45,21,12
2024-01-23,Jardim e Área Externa,desktop,242,56,31,19
2024-01-23,Organização,mobile,242,47,23,17
2024-01-23,Organização,desktop,285,57,27,18
2024-01-23,Elétrica,mobile,162,41,23,7
2024-01-23,Elétrica,desktop,148,36,16,5
2024-01-23,Hidráulica,mobile,89,23,11,5
2024-01-23,Hidráulica,desktop,150,33,15,6
2024-01-23,Pintura e Acabamento,mobile,132,33,18,12
2024-01-23,Pintura e Acabamento,desktop,86,17,8,5
2024-01-23,Segurança,mobile,235,56,30,9
2024-01-23,Segurança,desktop,296,62,32,8
2024-01-24,Ferramentas,mobile,125,25,11,6
2024-01-24,Ferramentas,desktop,290,67,35,19
2024-01-24,Iluminação,mobile,132,32,17,10
2024-01-24,Iluminação,desktop,216,40,18,13
2024-01-24,Utilidades Domésticas,mobile,227,59,30,25
2024-01-24,Utilidades Domésticas,desktop,117,30,14,10
2024-01-24,Jardim e Área Externa,mobile,284,52,24,17
2024-01-24,Jardim e Área Externa,desktop,124,30,16,10
2024-01-24,Organização,mobile,108,24,12,8
2024-01-24,Organização,desktop,294,60,35,28
2024-01-24,Elétrica,mobile,284,52,25,9
2024-01-24,Elétrica,desktop,164,37,17,6
2024-01-24,Hidráulica,mobile,263,57,25,11
2024-01-24,Hidráulica,desktop,167,39,18,8
2024-01-24,Pintura e Acabamento,mobile,225,57,33,21
2024-01-24,Pintura e Acabamento,desktop,141,37,20,13
2024-01-24,Segurança,mobile,127,23,12,3
2024-01-24,Segurança,desktop,133,35,18,5
2024-01-25,Ferramentas,mobile,172,38,22,13
2024-01-25,Ferramentas,desktop,192,52,29,17
2024-01-25,Iluminação,mobile,117,27,12,8
2024-01-25,Iluminação,desktop,226,41,24,19
2024-01-25,Utilidades Domésticas,mobile,210,54,27,17
2024-01-25,Utilidades Domésticas,desktop,182,43,25,17
2024-01-25,Jardim e Área Externa,mobile,273,70,40,24
2024-01-25,Jardim e Área Externa,desktop,137,27,15,10
2024-01-25,Organização,mobile,266,69,32,23
2024-01-25,Organização,desktop,257,48,25,17
2024-01-25,Elétrica,mobile,82,16,8,3
2024-01-25,Elétrica,desktop,204,54,24,9
2024-01-25,Hidráulica,mobile,177,37,17,7
2024-01-25,Hidráulica,desktop,179,37,20,7
2024-01-25,Pintura e Acabamento,mobile,209,41,21,13
2024-01-25,Pintura e Acabamento,desktop,133,32,18,10
2024-01-25,Segurança,mobile,86,22,11,4
2024-01-25,Segurança,desktop,154,29,16,5
2024-01-26,Ferramentas,mobile,288,69,39,25
2024-01-26,Ferramentas,desktop,81,17,8,4
2024-01-26,Iluminação,mobile,264,52,25,15
2024-01-26,Iluminação,desktop,261,63,33,22
2024-01-26,Utilidades Domésticas,mobile,95,21,11,7
2024-01-26,Utilidades Domésticas,desktop,80,15,8,6
2024-01-26,Jardim e Área Externa,mobile,298,64,29,21
2024-01-26,Jardim e Área Externa,desktop,292,81,45,25
2024-01-26,Organização,mobile,299,77,39,27
2024-01-26,Organização,desktop,108,21,11,7
2024-01-26,Elétrica,mobile,179,45,26,11
2024-01-26,Elétrica,desktop,253,47,23,8
2024-01-26,Hidráulica,mobile,265,54,26,10
2024-01-26,Hidráulica,desktop,213,41,23,9
2024-01-26,Pintura e Acabamento,mobile,203,55,29,17
2024-01-26,Pintura e Acabamento,desktop,129,31,14,10
2024-01-26,Segurança,mobile,190,41,24,8
2024-01-26,Segurança,desktop,112,28,12,3
2024-01-27,Ferramentas,mobile,94,25,14,8
2024-01-27,Ferramentas,desktop,299,58,31,21
2024-01-27,Iluminação,mobile,121,31,14,9
2024-01-27,Iluminação,desktop,171,43,23,14
2024-01-27,Utilidades Domésticas,mobile,89,18,9,7
2024-01-27,Utilidades Domésticas,desktop,268,58,34,25
2024-01-27,Jardim e Área Externa,mobile,264,51,28,17
2024-01-27,Jardim e Área Externa,desktop,230,46,22,14
2024-01-27,Organização,mobile,219,55,30,22
2024-01-27,Organização,desktop,120,29,14,10
2024-01-27,Elétrica,mobile,200,38,20,7
2024-01-27,Elétrica,desktop,225,50,29,10
2024-01-27,Hidráulica,mobile,90,19,10,4
2024-01-27,Hidráulica,desktop,103,19,11,4
2024-01-27,Pintura e Acabamento,mobile,290,80,36,26
2024-01-27,Pintura e Acabamento,desktop,125,27,14,8
2024-01-27,Segurança,mobile,161,40,19,6
2024-01-27,Segurança,desktop,237,50,26,8
2024-01-28,Ferramentas,mobile,171,39,18,11
2024-01-28,Ferramentas,desktop,82,18,10,5
2024-01-28,Iluminação,mobile,196,42,22,14
2024-01-28,Iluminação,desktop,204,49,22,14
2024-01-28,Utilidades Domésticas,mobile,133,33,19,12
2024-01-28,Utilidades Domésticas,desktop,242,62,33,27
2024-01-28,Jardim e Área Externa,mobile,283,59,30,19
2024-01-28,Jardim e Área Externa,desktop,258,47,23,15
2024-01-28,Organização,mobile,280,63,28,19
2024-01-28,Organização,desktop,290,66,34,23
2024-01-28,Elétrica,mobile,188,41,24,8
2024-01-28,Elétrica,desktop,186,46,22,9
2024-01-28,Hidráulica,mobile,212,40,18,7
2024-01-28,Hidráulica,desktop,90,20,9,4
2024-01-28,Pintura e Acabamento,mobile,233,48,24,17
2024-01-28,Pintura e Acabamento,desktop,160,31,18,12
2024-01-28,Segurança,mobile,178,35,16,4
2024-01-28,Segurança,desktop,145,40,18,6
2024-01-29,Ferramentas,mobile,209,40,20,12
2024-01-29,Ferramentas,desktop,195,37,20,12
2024-01-29,Iluminação,mobile,163,41,20,15
2024-01-29,Iluminação,desktop,153,31,17,10
2024-01-29,Utilidades Domésticas,mobile,273,62,31,25
2024-01-29,Utilidades Domésticas,desktop,211,42,22,17
2024-01-29,Jardim e Área Externa,mobile,200,37,21,14
2024-01-29,Jardim e Área Externa,desktop,180,33,19,10
2024-01-29,Organização,mobile,256,66,35,25
2024-01-29,Organização,desktop,121,24,11,6
2024-01-29,Elétrica,mobile,265,55,25,10
2024-01-29,Elétrica,desktop,89,20,10,4
2024-01-29,Hidráulica,mobile,147,37,19,8
2024-01-29,Hidráulica,desktop,295,55,27,10
2024-01-29,Pintura e Acabamento,mobile,185,34,20,12
2024-01-29,Pintura e Acabamento,desktop,170,37,19,11
2024-01-29,Segurança,mobile,195,38,22,6
2024-01-29,Segurança,desktop,217,58,30,9
2024-01-30,Ferramentas,mobile,97,26,12,6
2024-01-30,Ferramentas,desktop,172,31,14,9
