pedido_id,cliente_id,loja_id,canal,data_pedido,status
109,8864,1,App,2023-02-04 08:12:00,Cancelado
110,10429,7,Online,2022-07-10 20:55:00,Entregue
111,8440,7,Física,2022-06-22 11:11:00,Pendente
112,3015,1,Física,2022-05-01 05:27:00,Pendente
113,7671,1,Online,2023-10-23 22:33:00,Entregue
114,4808,2,Online,2022-05-25 23:45:00,Entregue
115,10668,6,Online,2022-04-23 00:50:00,Entregue
116,3505,4,Online,2023-08-22 08:20:00,Entregue
117,3577,3,Online,2023-10-06 07:14:00,Cancelado
118,10083,3,Online,2023-03-05 03:15:00,Entregue
119,8007,5,App,2022-02-09 04:06:00,Cancelado
120,9701,4,App,2022-04-09 05:58:00,Pendente
121,8901,7,Online,2022-04-24 12:29:00,Pendente
122,11712,5,Online,2022-11-20 01:15:00,Pendente
123,156,7,App,2022-09-07 07:06:00,Entregue
124,93,7,Física,2022-02-21 03:31:00,Entregue
125,2734,7,Física,2022-03-27 12:39:00,Entregue
126,5629,1,Online,2023-02-02 13:53:00,Pendente
127,400,5,App,2022-04-11 10:17:00,Entregue
128,8779,5,Online,2022-06-09 02:59:00,Entregue
129,10950,6,Física,2022-12-07 05:54:00,Entregue
130,3755,5,Física,2022-05-04 12:54:00,Entregue
131,9143,4,Online,2022-01-28 02:29:00,Entregue
132,10400,7,Online,2023-12-29 14:47:00,Pendente
133,5650,6,App,2023-08-16 17:30:00,Entregue
134,11796,2,Física,2022-07-23 10:52:00,Pendente
135,8393,6,Online,2023-12-30 03:24:00,Entregue
136,10911,4,App,2022-01-08 11:23:00,Pendente
137,4462,4,Física,2023-01-19 13:27:00,Pendente
138,2580,7,App,2023-06-23 15:08:00,Cancelado
139,8801,1,App,2022-08-15 17:17:00,Entregue
140,11728,3,App,2022-02-03 05:58:00,Pendente
141,10941,2,Física,2022-03-07 20:49:00,Pendente
142,4442,7,Física,2022-05-25 06:17:00,Pendente
143,792,2,Física,2022-12-29 13:53:00,Cancelado
144,7237,2,App,2022-06-26 22:23:00,Entregue
145,7794,3,App,2023-07-24 08:41:00,Entregue
146,9856,5,Física,2022-05-09 14:59:00,Cancelado
147,2609,7,App,2023-12-25 21:07:00,Cancelado
148,6596,5,Física,2022-02-14 08:58:00,Pendente
149,11364,3,Online,2022-05-05 20:40:00,Entregue
150,7583,7,App,2022-06-29 18:14:00,Entregue
151,5507,1,Online,2022-09-27 14:42:00,Pendente
152,9739,3,Física,2022-08-23 05:24:00,Pendente
153,5360,6,Online,2023-06-08 12:59:00,Entregue
154,1784,5,Online,2022-04-17 16:49:00,Entregue
155,10799,4,App,2023-10-01 15:54:00,Entregue
156,7407,6,Online,2023-01-09 04:16:00,Entregue
157,9235,2,Online,2022-10-08 16:03:00,Pendente
158,1051,5,Física,2023-01-02 21:34:00,Entregue
159,10750,6,Online,2023-09-02 17:43:00,Entregue
160,7020,3,Online,2023-07-13 17:25:00,Pendente
161,4065,5,Física,2023-12-29 09:01:00,Entregue
162,1433,3,App,2022-03-09 03:49:00,Entregue
163,7227,4,Online,2022-10-07 21:58:00,Cancelado
164,2767,1,App,2022-12-19 01:07:00,Entregue
165,65,6,Física,2023-02-13 06:19:00,Entregue
166,9144,4,Física,2022-01-05 20:42:00,Pendente
167,2453,4,Física,2023-10-16 14:07:00,Entregue
168,10400,6,App,2022-09-29 01:08:00,Cancelado
169,2729,1,App,2022-08-22 21:19:00,Entregue
170,4070,3,Física,2023-08-05 07:22:00,Entregue
171,7697,1,Online,2022-05-08 11:41:00,Cancelado
172,6942,2,App,2022-04-30 09:46:00,Entregue
173,1299,4,App,2023-10-18 22:04:00,Entregue
174,2797,6,App,2023-10-14 13:38:00,Entregue
175,5494,7,Física,2023-04-12 00:28:00,Entregue
176,7502,3,Física,2023-08-23 03:05:00,Entregue
177,8547,5,Online,2022-08-04 20:50:00,Entregue
178,10825,5,App,2023-09-28 12:37:00,Entregue
179,10046,3,App,2022-06-09 00:58:00,Cancelado
180,4593,3,Física,2022-01-04 18:44:00,Pendente
181,5024,7,App,2023-08-17 21:58:00,Cancelado
182,9968,6,Online,2023-12-13 16:20:00,Entregue
183,10358,5,Online,2022-12-10 08:19:00,Pendente
184,3591,3,App,2022-10-29 08:48:00,Pendente
185,3123,5,Física,2023-07-14 05:48:00,Entregue
186,8231,6,Online,2023-08-03 10:56:00,Entregue
187,8511,4,Física,2023-01-21 17:54:00,Cancelado
188,3786,1,App,2022-11-11 14:54:00,Entregue
189,5867,5,Física,2023-05-13 05:47:00,Cancelado
190,10587,7,Física,2023-08-25 18:35:00,Entregue
191,6014,1,Online,2023-12-11 15:38:00,Entregue
192,7579,7,App,2022-03-18 17:59:00,Cancelado
193,857,2,Física,2022-12-16 22:31:00,Cancelado
194,2831,5,Física,2023-02-07 07:34:00,Entregue
195,613,6,Física,2023-11-21 01:25:00,Pendente
196,6616,6,App,2022-04-14 15:53:00,Entregue
197,7938,6,App,2022-05-15 23:23:00,Entregue
198,4479,7,Online,2022-09-15 18:37:00,Pendente
199,3170,2,Física,2022-05-18 04:26:00,Cancelado
200,8356,6,App,2023-01-08 13:07:00,Entregue
201,2243,7,Física,2022-02-23 11:17:00,Entregue
202,9163,6,Online,2022-08-04 23:54:00,Entregue
203,9964,2,App,2023-10-30 13:06:00,Entregue
204,7729,3,Online,2022-03-27 12:30:00,Entregue
205,2340,1,App,2022-08-11 14:39:00,Entregue
206,3545,5,App,2023-11-29 17:13:00,Cancelado
207,6890,6,Física,2023-12-05 22:30:00,Cancelado
208,2081,7,Física,2022-01-04 15:29:00,Cancelado
209,1443,2,App,2023-07-15 21:10:00,Pendente
210,7043,6,Online,2023-11-25 00:05:00,Entregue
211,6179,2,Online,2022-12-28 15:21:00,Pendente
212,5945,4,Física,2022-11-17 22:25:00,Pendente
213,4536,5,Online,2022-05-25 21:38:00,Entregue
214,6124,7,Online,2022-01-09 23:26:00,Cancelado
215,9202,1,App,2023-11-01 07:47:00,Entregue
216,5287,4,App,2023-09-01 14:28:00,Pendente
217,8515,5,Online,2023-09-12 15:30:00,Entregue
218,635,2,Online,2023-06-15 14:25:00,Entregue
219,9487,7,Online,2023-07-17 12:05:00,Pendente
220,9119,6,Física,2023-01-01 11:46:00,Entregue
221,7180,2,App,2022-02-20 17:16:00,Entregue
222,2828,6,Online,2023-05-12 04:22:00,Entregue
223,7130,7,App,2023-03-02 08:02:00,Entregue
224,9952,6,App,2022-07-16 20:34:00,Entregue
225,6526,3,Online,2023-07-16 09:01:00,Entregue
226,1678,4,App,2023-11-11 06:55:00,Entregue
227,3112,5,Física,2023-04-01 11:03:00,Pendente
228,1719,4,App,2022-08-20 11:38:00,Entregue
229,2565,7,Online,2022-04-27 14:38:00,Entregue
230,5251,5,Online,2022-12-17 06:41:00,Entregue
231,11077,1,Física,2023-05-29 20:22:00,Cancelado
232,6419,6,App,2023-07-02 20:25:00,Entregue
233,2771,4,Física,2022-01-29 23:17:00,Cancelado
234,2295,7,Física,2023-05-26 05:54:00,Cancelado
235,2820,4,Online,2023-11-04 00:22:00,Entregue
236,11782,5,App,2022-09-30 15:16:00,Entregue
237,3710,2,Física,2023-12-29 06:41:00,Entregue
238,8005,3,Online,2022-05-12 23:12:00,Pendente
239,11130,5,Física,2022-06-04 16:27:00,Cancelado
240,9614,2,Online,2023-09-16 23:43:00,Entregue
241,9617,7,Online,2022-03-02 00:23:00,Entregue
242,6533,2,App,2022-10-02 01:03:00,Entregue
243,9470,2,Física,2023-04-26 07:27:00,Pendente
244,2331,6,Online,2023-02-14 23:07:00,Entregue
245,1235,7,Online,2023-01-04 15:26:00,Entregue
246,7288,5,App,2023-01-27 22:22:00,Entregue
247,4605,2,App,2023-09-21 13:57:00,Entregue
248,1211,5,Física,2022-12-11 15:03:00,Cancelado
249,6031,4,Física,2022-11-13 08:35:00,Entregue
250,10758,7,Online,2023-07-14 15:28:00,Pendente
251,298,6,Online,2022-05-13 02:57:00,Cancelado
252,3426,6,App,2023-02-25 03:24:00,Cancelado
253,1425,1,App,2022-01-16 20:15:00,Entregue
254,1832,4,Física,2022-04-08 02:10:00,Entregue
255,10513,1,App,2022-04-16 12:43:00,Pendente
256,11536,1,Online,2022-06-19 22:53:00,Cancelado
257,9224,6,Online,2023-08-02 13:52:00,Cancelado
258,3332,4,Física,2022-10-16 02:17:00,Pendente
259,6193,4,Física,2022-08-07 11:34:00,Pendente
260,10781,6,Física,2023-12-06 07:31:00,Entregue
261,8356,5,Física,2022-06-30 09:29:00,Pendente
262,11182,1,Física,2023-10-23 20:04:00,Entregue
263,4534,6,Física,2022-05-24 15:57:00,Entregue
264,169,5,Física,2022-01-27 22:24:00,Entregue
265,9720,5,Física,2023-02-24 04:31:00,Entregue
266,6101,2,App,2022-09-12 12:12:00,Pendente
267,9367,6,Online,2022-02-12 02:23:00,Cancelado
268,7588,3,Física,2023-05-19 15:03:00,Entregue
269,10187,5,Online,2023-11-04 22:26:00,Cancelado
270,11405,1,Online,2023-12-21 03:29:00,Entregue
271,606,4,App,2023-01-06 23:41:00,Entregue
272,2167,7,App,2022-06-27 20:04:00,Entregue
273,4180,2,App,2022-09-11 20:25:00,Cancelado
274,610,4,Física,2022-05-01 20:43:00,Cancelado
275,10056,5,App,2023-05-03 18:15:00,Entregue
276,9341,2,Física,2022-10-01 22:10:00,Entregue
277,11093,2,Online,2022-09-28 04:22:00,Entregue
278,8400,3,Online,2022-07-02 21:37:00,Entregue
279,5005,5,App,2023-03-05 15:03:00,Entregue
280,8722,5,Física,2022-08-25 12:48:00,Cancelado
281,7823,6,Física,2022-01-14 02:01:00,Entregue
282,6464,1,Física,2022-06-21 11:07:00,Entregue
283,1875,1,Física,2022-06-25 05:57:00,Entregue
284,408,6,Física,2023-08-11 04:45:00,Pendente
285,9254,2,Física,2022-08-16 22:41:00,Entregue
286,11391,3,Física,2022-06-16 04:05:00,Entregue
287,1538,4,Online,2022-11-07 18:01:00,Entregue
288,8390,5,Online,2022-06-11 08:33:00,Cancelado
289,9599,6,Física,2023-09-14 19:50:00,Entregue
290,11825,7,Online,2023-09-29 04:31:00,Pendente
291,5430,2,Física,2023-08-14 17:56:00,Cancelado
292,858,1,App,2022-07-10 13:07:00,Entregue
293,3249,2,Online,2023-10-26 00:19:00,Entregue
294,6397,6,Online,2022-11-20 10:23:00,Cancelado
295,3560,7,Online,2022-05-19 07:57:00,Cancelado
296,11032,5,App,2022-03-11 20:23:00,Cancelado
297,10079,3,Física,2022-12-08 04:56:00,Entregue
298,10749,1,Online,2022-12-29 05:40:00,Cancelado
299,6204,6,Física,2022-04-27 08:29:00,Pendente
300,686,1,Física,2022-06-25 04:41:00,Entregue
301,30,7,Física,2022-11-18 16:41:00,Entregue
302,139,6,App,2022-02-08 07:26:00,Entregue
303,1841,7,App,2022-01-04 06:44:00,Pendente
304,8254,5,Online,2022-06-14 14:31:00,Entregue
305,6035,2,Física,2023-06-07 16:27:00,Pendente
306,2867,6,App,2022-02-22 12:16:00,Entregue
307,9995,4,Online,2022-08-08 06:11:00,Entregue
308,2520,2,Física,2022-01-25 20:59:00,Entregue
309,1605,1,App,2022-03-11 14:48:00,Entregue
310,4003,1,Física,2022-06-14 09:19:00,Pendente
311,11557,7,Online,2022-01-14 12:39:00,Entregue
312,1226,3,Física,2022-05-04 18:46:00,Entregue
313,3949,5,Online,2023-08-13 00:19:00,Entregue
314,11732,4,Online,2023-02-01 18:46:00,Entregue
315,11544,2,Online,2023-02-08 04:51:00,Entregue
316,3263,6,App,2023-08-11 10:54:00,Entregue
317,464,3,App,2022-11-24 09:08:00,Cancelado
318,2985,4,Online,2022-01-22 00:20:00,Entregue
319,4904,3,Física,2023-04-29 14:17:00,Cancelado
320,3245,7,App,2023-09-26 21:56:00,Pendente
321,10748,4,Online,2023-12-10 05:31:00,Entregue
322,4054,6,Física,2022-04-26 11:10:00,Pendente
323,5834,7,Online,2022-05-13 02:16:00,Pendente
324,4383,2,Física,2022-03-07 20:42:00,Cancelado
325,1713,3,Física,2023-01-08 15:25:00,Cancelado
326,1923,5,Online,2023-12-04 08:59:00,Entregue
327,302,4,Online,2022-11-01 22:45:00,Entregue
328,5406,1,Online,2023-06-28 12:19:00,Entregue
329,6574,6,Online,2022-04-29 11:50:00,Cancelado
330,7623,1,Online,2022-09-11 21:23:00,Entregue
331,9599,3,App,2023-10-17 04:33:00,Cancelado
332,6315,4,Física,2022-01-10 14:49:00,Entregue
333,11669,6,App,2022-12-11 14:37:00,Entregue
334,11753,5,Online,2023-08-05 03:40:00,Entregue
335,9959,1,App,2022-04-15 12:50:00,Entregue
336,3628,7,Física,2022-03-09 13:00:00,Entregue
337,5046,6,Física,2022-12-26 22:09:00,Entregue
338,8403,5,App,2023-06-09 23:24:00,Entregue
339,3245,6,Online,2023-06-06 14:03:00,Cancelado
340,9754,7,Física,2022-03-10 16:29:00,Cancelado
341,8187,5,Física,2023-08-22 10:30:00,Cancelado
342,10854,5,App,2022-01-23 05:26:00,Entregue
343,5102,6,Física,2022-06-06 17:18:00,Pendente
344,9673,4,Física,2022-01-14 02:55:00,Entregue
345,5228,4,Física,2023-05-17 08:01:00,Entregue
346,9799,6,Online,2022-11-28 11:16:00,Entregue
347,8851,4,Online,2023-08-10 03:36:00,Pendente
348,6709,3,App,2023-02-11 23:27:00,Entregue
349,4057,5,Online,2023-11-22 16:25:00,Entregue
350,2983,5,Física,2022-05-14 07:53:00,Entregue
351,2820,4,Online,2022-05-17 00:23:00,Entregue
352,1604,3,Online,2023-08-06 03:47:00,Entregue
353,6741,6,Online,2022-04-03 20:23:00,Entregue
354,2338,4,App,2023-02-10 22:48:00,Entregue
355,8405,3,Física,2023-11-07 17:39:00,Entregue
356,9747,3,Online,2022-08-09 01:57:00,Entregue
357,8211,5,Física,2023-12-29 21:06:00,Entregue
358,9961,1,App,2023-03-06 05:47:00,Entregue
359,361,7,Online,2022-07-25 01:16:00,Entregue
360,10657,7,Física,2023-07-28 00:39:00,Entregue
361,2890,3,App,2022-09-26 23:38:00,Pendente
362,9627,5,Online,2022-02-01 10:02:00,Cancelado
363,9203,6,App,2022-11-01 16:13:00,Entregue
364,11065,5,Online,2023-12-13 20:12:00,Pendente
365,4391,7,App,2022-08-16 02:57:00,Pendente
366,823,4,App,2022-01-02 01:25:00,Cancelado
367,1881,7,Física,2022-01-26 19:47:00,Pendente
368,11344,5,App,2022-09-04 22:47:00,Pendente
369,11802,6,App,2023-02-03 07:53:00,Entregue
370,10,4,Física,2022-08-28 21:26:00,Entregue
371,11334,2,Online,2022-10-12 17:56:00,Entregue
372,5997,7,App,2022-01-19 16:32:00,Entregue
373,11432,5,Física,2022-02-24 01:58:00,Entregue
374,1482,2,Física,2023-09-30 06:23:00,Entregue
375,4236,6,Online,2023-05-01 19:45:00,Pendente
376,4370,5,App,2022-04-05 07:42:00,Entregue
377,10345,1,Física,2023-10-10 22:34:00,Entregue
378,1784,3,App,2022-09-04 02:54:00,Cancelado
379,6515,6,Física,2022-09-25 01:32:00,Pendente
380,10463,2,Online,2022-08-06 06:22:00,Entregue
381,8844,3,Online,2023-06-05 20:58:00,Cancelado
382,5262,6,App,2022-06-27 03:35:00,Pendente
383,1319,7,Física,2023-10-11 15:46:00,Cancelado
384,2055,3,Online,2022-05-12 01:42:00,Entregue
385,2234,7,Online,2023-10-27 02:02:00,Entregue
386,1973,6,App,2023-06-13 21:05:00,Pendente
387,921,5,Online,2023-11-02 14:10:00,Cancelado
388,8041,1,App,2022-08-17 10:11:00,Entregue
389,1926,4,Online,2023-02-03 02:01:00,Pendente
390,726,5,Online,2023-06-27 10:31:00,Entregue
391,3213,6,App,2022-08-12 10:19:00,Entregue
392,4976,2,Física,2023-08-13 08:49:00,Entregue
393,5688,4,Física,2022-11-18 04:39:00,Cancelado
394,9350,4,App,2023-04-14 00:08:00,Entregue
395,8307,4,App,2023-06-05 23:27:00,Pendente
396,8815,1,Física,2022-12-31 03:16:00,Cancelado
397,2941,2,Online,2023-08-16 16:04:00,Entregue
398,5816,7,Física,2023-12-13 12:39:00,Cancelado
399,9998,5,App,2023-03-29 23:10:00,Entregue
400,11314,5,Física,2023-07-13 02:39:00,Entregue
401,11222,1,App,2023-07-13 19:26:00,Pendente
402,3894,5,Física,2023-11-25 10:06:00,Entregue
403,11239,7,Online,2022-07-26 06:43:00,Pendente
404,10163,4,Online,2022-05-18 16:46:00,Entregue
405,7283,4,Online,2023-03-09 06:01:00,Entregue
406,6074,2,Online,2023-04-27 20:28:00,Cancelado
407,11613,4,App,2023-09-11 04:55:00,Entregue
408,6120,5,App,2023-07-04 22:57:00,Entregue
409,447,2,Online,2023-03-31 13:06:00,Entregue
410,3418,5,Online,2022-10-14 23:09:00,Entregue
411,10172,4,Online,2022-07-18 02:32:00,Entregue
412,11029,1,App,2023-12-31 01:02:00,Entregue
413,8177,2,Física,2022-01-24 18:33:00,Cancelado
414,1357,1,Física,2022-12-14 00:41:00,Cancelado
415,1367,7,App,2023-09-12 10:51:00,Entregue
416,5741,5,App,2023-01-02 18:35:00,Entregue
417,2505,2,App,2023-06-22 00:14:00,Entregue
418,3885,5,App,2022-03-26 13:59:00,Entregue
419,2895,3,Online,2023-02-05 17:32:00,Entregue
420,7857,7,App,2022-05-26 19:46:00,Pendente
421,2819,5,Física,2022-07-02 20:59:00,Entregue
422,10536,5,Online,2022-03-02 02:03:00,Pendente
423,2697,6,Física,2022-02-25 02:09:00,Entregue
424,7551,7,Online,2022-11-15 17:34:00,Pendente
425,757,5,Online,2022-04-18 07:24:00,Cancelado
426,1738,3,Online,2022-03-22 10:48:00,Entregue
427,4356,4,App,2022-01-05 11:42:00,Pendente
428,4886,7,App,2022-10-25 16:35:00,Cancelado
429,215,3,Física,2022-03-05 02:42:00,Cancelado
430,5937,2,Online,2022-08-14 10:47:00,Pendente
431,5742,7,Online,2023-01-09 05:01:00,Entregue
432,1433,3,App,2022-11-09 00:21:00,Pendente
433,6531,2,Física,2023-09-04 15:22:00,Entregue
434,6075,6,Online,2023-09-12 20:13:00,Cancelado
435,6139,7,Física,2022-12-10 22:32:00,Entregue
436,10681,4,Online,2022-06-12 20:18:00,Cancelado
437,8309,2,App,2023-06-09 11:10:00,Entregue
438,9328,6,Online,2022-11-10 07:28:00,Entregue
439,282,1,Física,2023-11-10 06:41:00,Entregue
440,8822,5,Online,2023-02-24 17:34:00,Pendente
441,4520,6,Online,2023-06-09 04:15:00,Entregue
442,10776,4,Online,2022-02-03 10:48:00,Pendente
443,11495,3,Online,2023-12-17 08:41:00,Cancelado
444,7259,1,App,2023-09-23 20:50:00,Entregue
445,1469,7,App,2022-12-13 03:12:00,Pendente
446,7013,3,App,2023-02-15 07:48:00,Pendente
447,1076,3,App,2022-09-20 21:29:00,Cancelado
448,1014,3,Online,2022-10-03 03:44:00,Entregue
449,5853,1,App,2022-01-02 14:06:00,Pendente
450,244,3,App,2022-01-25 14:13:00,Cancelado
451,10061,7,Física,2023-07-05 19:23:00,Entregue
452,10503,6,Física,2023-06-08 03:35:00,Entregue
453,11542,3,Online,2022-10-18 20:05:00,Cancelado
454,1869,1,Física,2022-07-08 20:20:00,Cancelado
455,11632,5,Online,2022-12-07 07:15:00,Entregue
456,6490,7,Online,2023-08-26 12:53:00,Entregue
457,1721,4,Física,2023-05-08 08:16:00,Cancelado
458,1161,1,App,2022-12-19 04:23:00,Pendente
459,6947,7,App,2022-08-28 02:30:00,Entregue
460,6207,6,Online,2023-05-12 18:25:00,Pendente
461,1328,4,App,2023-11-13 12:59:00,Entregue
462,341,6,Online,2022-11-21 04:56:00,Entregue
463,7309,4,App,2023-06-13 14:34:00,Pendente
464,3994,4,Online,2023-08-28 21:55:00,Entregue
465,9038,2,Física,2022-11-09 03:14:00,Entregue
466,5839,4,Física,2023-10-15 16:25:00,Entregue
467,331,5,Online,2022-07-05 08:33:00,Cancelado
468,403,1,Física,2022-07-21 01:30:00,Entregue
469,4446,1,Online,2022-09-10 12:45:00,Entregue
470,4128,4,Online,2022-06-14 21:22:00,Pendente
471,10643,6,App,2022-11-17 21:51:00,Cancelado
472,4713,5,App,2023-01-25 01:38:00,Cancelado
473,2409,3,App,2022-08-03 09:52:00,Cancelado
474,7468,3,Online,2022-04-20 23:25:00,Cancelado
475,10508,5,Física,2023-04-28 21:42:00,Cancelado
476,1154,4,App,2023-09-14 17:44:00,Entregue
477,3824,2,App,2023-07-01 11:20:00,Cancelado
478,6291,3,App,2022-04-04 10:42:00,Entregue
479,6804,2,Online,2023-09-22 06:43:00,Entregue
480,545,6,App,2022-11-06 18:39:00,Entregue
481,8210,3,App,2022-04-04 12:06:00,Cancelado
482,2255,5,App,2023-09-18 02:45:00,Cancelado
483,11529,5,App,2022-01-09 22:26:00,Cancelado
484,1319,2,Física,2023-02-28 10:42:00,Entregue
485,5916,4,Física,2023-02-08 20:35:00,Entregue
486,5835,4,Física,2023-07-11 09:13:00,Entregue
487,5265,7,Online,2022-09-15 03:29:00,Entregue
488,7557,2,Física,2023-02-14 06:34:00,Entregue
489,377,5,Online,2022-01-29 09:56:00,Entregue
490,9990,1,Online,2022-10-30 15:18:00,Entregue
491,3603,3,Física,2023-08-02 10:58:00,Pendente
492,1401,2,App,2023-04-08 03:48:00,Pendente
493,8845,6,Física,2023-05-14 18:22:00,Entregue
494,5662,6,Online,2023-09-28 15:22:00,Entregue
495,2276,1,Física,2023-12-16 05:15:00,Cancelado
496,1432,7,Física,2022-06-26 18:13:00,Pendente
497,7420,2,Online,2023-10-28 20:09:00,Pendente
498,8367,5,Física,2023-03-20 18:47:00,Entregue
499,5311,6,Física,2023-02-11 08:40:00,Cancelado
500,3413,2,Física,2023-09-14 00:22:00,Pendente
501,11206,2,Física,2023-05-26 11:07:00,Cancelado
