produto_id,mes_referencia,preco_casanova,preco_medio_mercado
P0008,2025-02-01,166.82,135.34
P0008,2025-03-01,166.82,135.74
P0008,2025-04-01,166.82,142.43
P0008,2025-05-01,166.82,135.5
P0008,2025-06-01,166.82,149.41
P0008,2025-07-01,166.82,136.44
P0008,2025-08-01,166.82,138.52
P0008,2025-09-01,166.82,140.34
P0008,2025-10-01,166.82,143.6
P0008,2025-11-01,166.82,149.63
P0008,2025-12-01,166.82,146.48
P0009,2024-01-01,269.04,287.63
P0009,2024-02-01,269.04,291.73
P0009,2024-03-01,269.04,280.52
P0009,2024-04-01,269.04,272.25
P0009,2024-05-01,269.04,271.49
P0009,2024-06-01,269.04,272.68
P0009,2024-07-01,269.04,285.56
P0009,2024-08-01,269.04,270.34
P0009,2024-09-01,269.04,290.21
P0009,2024-10-01,269.04,276.28
P0009,2024-11-01,269.04,295.9
P0009,2024-12-01,269.04,294.43
P0009,2025-01-01,269.04,279.61
P0009,2025-02-01,269.04,284.46
P0009,2025-03-01,269.04,293.82
P0009,2025-04-01,269.04,273.71
P0009,2025-05-01,269.04,271.42
P0009,2025-06-01,269.04,275.48
P0009,2025-07-01,269.04,281.33
P0009,2025-08-01,269.04,286.09
P0009,2025-09-01,269.04,295.87
P0009,2025-10-01,269.04,289.76
P0009,2025-11-01,269.04,274.4
P0009,2025-12-01,269.04,274.12
P0010,2024-01-01,375.67,358.93
P0010,2024-02-01,375.67,365.09
P0010,2024-03-01,375.67,368.64
P0010,2024-04-01,375.67,392.13
P0010,2024-05-01,375.67,371.15
P0010,2024-06-01,375.67,357.17
P0010,2024-07-01,375.67,363.69
P0010,2024-08-01,375.67,383.75
P0010,2024-09-01,375.67,391.28
P0010,2024-10-01,375.67,383.53
P0010,2024-11-01,375.67,386.15
P0010,2024-12-01,375.67,371.97
P0010,2025-01-01,375.67,381.67
P0010,2025-02-01,375.67,383.08
P0010,2025-03-01,375.67,365.78
P0010,2025-04-01,375.67,381.65
P0010,2025-05-01,375.67,386.48
P0010,2025-06-01,375.67,367.2
P0010,2025-07-01,375.67,385.4
P0010,2025-08-01,375.67,379.72
P0010,2025-09-01,375.67,387.49
P0010,2025-10-01,375.67,385.09
P0010,2025-11-01,375.67,382.8
P0010,2025-12-01,375.67,375.63
P0011,2024-01-01,525.9,575.54
P0011,2024-02-01,525.9,580.95
P0011,2024-03-01,525.9,579.99
P0011,2024-04-01,525.9,536.93
P0011,2024-05-01,525.9,559.95
P0011,2024-06-01,525.9,574.32
P0011,2024-07-01,525.9,556.28
P0011,2024-08-01,525.9,535.09
P0011,2024-09-01,525.9,547.81
P0011,2024-10-01,525.9,540.71
P0011,2024-11-01,525.9,555.16
P0011,2024-12-01,525.9,555.0
P0011,2025-01-01,525.9,558.58
P0011,2025-02-01,525.9,570.49
P0011,2025-03-01,525.9,543.55
P0011,2025-04-01,525.9,538.76
P0011,2025-05-01,525.9,573.4
P0011,2025-06-01,525.9,572.37
P0011,2025-07-01,525.9,560.21
P0011,2025-08-01,525.9,561.0
P0011,2025-09-01,525.9,538.84
P0011,2025-10-01,525.9,554.56
P0011,2025-11-01,525.9,548.1
P0011,2025-12-01,525.9,535.1
P0012,2024-01-01,258.94,261.88
P0012,2024-02-01,258.94,274.34
P0012,2024-03-01,258.94,262.18
P0012,2024-04-01,258.94,278.2
P0012,2024-05-01,258.94,268.27
P0012,2024-06-01,258.94,261.1
P0012,2024-07-01,258.94,268.8
P0012,2024-08-01,258.94,269.09
P0012,2024-09-01,258.94,268.28
P0012,2024-10-01,258.94,279.89
P0012,2024-11-01,258.94,259.43
P0012,2024-12-01,258.94,272.2
P0012,2025-01-01,258.94,259.03
P0012,2025-02-01,258.94,271.61
P0012,2025-03-01,258.94,270.55
P0012,2025-04-01,258.94,265.76
P0012,2025-05-01,258.94,273.64
P0012,2025-06-01,258.94,257.25
P0012,2025-07-01,258.94,258.83
P0012,2025-08-01,258.94,258.75
P0012,2025-09-01,258.94,280.08
P0012,2025-10-01,258.94,258.29
P0012,2025-11-01,258.94,263.33
P0012,2025-12-01,258.94,262.01
P0013,2024-01-01,395.82,407.42
P0013,2024-02-01,395.82,384.57
P0013,2024-03-01,395.82,395.82
P0013,2024-04-01,395.82,379.15
P0013,2024-05-01,395.82,382.97
P0013,2024-06-01,395.82,373.9
P0013,2024-07-01,395.82,378.19
P0013,2024-08-01,395.82,402.84
P0013,2024-09-01,395.82,381.94
P0013,2024-10-01,395.82,403.83
P0013,2024-11-01,395.82,394.67
P0013,2024-12-01,395.82,388.49
P0013,2025-01-01,395.82,384.15
P0013,2025-02-01,395.82,374.44
P0013,2025-03-01,395.82,372.51
P0013,2025-04-01,395.82,404.81
P0013,2025-05-01,395.82,374.58
P0013,2025-06-01,395.82,394.21
P0013,2025-07-01,395.82,393.6
P0013,2025-08-01,395.82,375.5
P0013,2025-09-01,395.82,378.01
P0013,2025-10-01,395.82,402.17
P0013,2025-11-01,395.82,384.52
P0013,2025-12-01,395.82,404.46
P0014,2024-01-01,181.73,200.7
P0014,2024-02-01,181.73,187.56
P0014,2024-03-01,181.73,191.0
P0014,2024-04-01,181.73,192.42
P0014,2024-05-01,181.73,190.98
P0014,2024-06-01,181.73,189.31
P0014,2024-07-01,181.73,194.01
P0014,2024-08-01,181.73,187.8
P0014,2024-09-01,181.73,187.86
P0014,2024-10-01,181.73,189.99
P0014,2024-11-01,181.73,190.93
P0014,2024-12-01,181.73,197.8
P0014,2025-01-01,181.73,186.38
P0014,2025-02-01,181.73,196.02
P0014,2025-03-01,181.73,197.96
P0014,2025-04-01,181.73,192.12
P0014,2025-05-01,181.73,185.15
P0014,2025-06-01,181.73,185.13
P0014,2025-07-01,181.73,186.16
P0014,2025-08-01,181.73,192.64
P0014,2025-09-01,181.73,192.25
P0014,2025-10-01,181.73,196.67
P0014,2025-11-01,181.73,190.79
P0014,2025-12-01,181.73,202.65
P0015,2024-01-01,509.67,545.1
P0015,2024-02-01,509.67,580.95
P0015,2024-03-01,509.67,535.62
P0015,2024-04-01,509.67,559.04
P0015,2024-05-01,509.67,575.84
P0015,2024-06-01,509.67,541.12
P0015,2024-07-01,509.67,563.83
P0015,2024-08-01,509.67,539.12
P0015,2024-09-01,509.67,542.06
P0015,2024-10-01,509.67,554.14
P0015,2024-11-01,509.67,570.67
P0015,2024-12-01,509.67,549.34
P0015,2025-01-01,509.67,556.91
P0015,2025-02-01,509.67,580.05
P0015,2025-03-01,509.67,562.56
P0015,2025-04-01,509.67,539.2
P0015,2025-05-01,509.67,563.54
P0015,2025-06-01,509.67,544.69
P0015,2025-07-01,509.67,538.06
P0015,2025-08-01,509.67,536.02
P0015,2025-09-01,509.67,546.05
P0015,2025-10-01,509.67,538.66
P0015,2025-11-01,509.67,543.45
P0015,2025-12-01,509.67,548.26
P0016,2024-01-01,522.3,578.12
P0016,2024-02-01,522.3,579.32
P0016,2024-03-01,522.3,590.32
P0016,2024-04-01,522.3,562.15
P0016,2024-05-01,522.3,587.78
P0016,2024-06-01,522.3,574.79
P0016,2024-07-01,522.3,597.64
P0016,2024-08-01,522.3,571.22
P0016,2024-09-01,522.3,592.79
P0016,2024-10-01,522.3,567.04
P0016,2024-11-01,522.3,594.04
P0016,2024-12-01,522.3,599.58
P0016,2025-01-01,522.3,569.16
P0016,2025-02-01,522.3,585.14
P0016,2025-03-01,522.3,609.93
P0016,2025-04-01,522.3,580.63
P0016,2025-05-01,522.3,609.83
P0016,2025-06-01,522.3,592.83
P0016,2025-07-01,522.3,592.72
P0016,2025-08-01,522.3,581.78
P0016,2025-09-01,522.3,583.65
P0016,2025-10-01,522.3,577.21
P0016,2025-11-01,522.3,605.84
P0016,2025-12-01,522.3,600.5
P0017,2024-01-01,69.32,75.04
P0017,2024-02-01,69.32,79.49
P0017,2024-03-01,69.32,75.7
P0017,2024-04-01,69.32,74.83
P0017,2024-05-01,69.32,78.3
P0017,2024-06-01,69.32,76.99
P0017,2024-07-01,69.32,78.08
P0017,2024-08-01,69.32,75.96
P0017,2024-09-01,69.32,77.16
P0017,2024-10-01,69.32,78.34
P0017,2024-11-01,69.32,79.41
P0017,2024-12-01,69.32,77.04
P0017,2025-01-01,69.32,76.44
P0017,2025-02-01,69.32,79.0
P0017,2025-03-01,69.32,76.65
P0017,2025-04-01,69.32,77.96
P0017,2025-05-01,69.32,79.57
P0017,2025-06-01,69.32,75.63
P0017,2025-07-01,69.32,78.81
P0017,2025-08-01,69.32,79.59
P0017,2025-09-01,69.32,76.32
P0017,2025-10-01,69.32,75.93
P0017,2025-11-01,69.32,75.32
P0017,2025-12-01,69.32,80.69
P0018,2024-01-01,821.3,758.31
P0018,2024-02-01,821.3,773.71
P0018,2024-03-01,821.3,770.21
P0018,2024-04-01,821.3,739.46
P0018,2024-05-01,821.3,769.43
P0018,2024-06-01,821.3,750.15
P0018,2024-07-01,821.3,796.31
P0018,2024-08-01,821.3,801.8
P0018,2024-09-01,821.3,731.88
P0018,2024-10-01,821.3,797.57
P0018,2024-11-01,821.3,781.58
P0018,2024-12-01,821.3,760.12
P0018,2025-01-01,821.3,798.43
P0018,2025-02-01,821.3,759.79
P0018,2025-03-01,821.3,741.17
P0018,2025-04-01,821.3,774.18
P0018,2025-05-01,821.3,788.28
P0018,2025-06-01,821.3,807.72
P0018,2025-07-01,821.3,742.47
P0018,2025-08-01,821.3,803.63
P0018,2025-09-01,821.3,761.22
P0018,2025-10-01,821.3,734.52
P0018,2025-11-01,821.3,806.65
P0018,2025-12-01,821.3,735.59
P0019,2024-01-01,269.35,273.49
P0019,2024-02-01,269.35,279.56
P0019,2024-03-01,269.35,282.94
P0019,2024-04-01,269.35,282.12
P0019,2024-05-01,269.35,277.11
P0019,2024-06-01,269.35,272.9
P0019,2024-07-01,269.35,289.91
P0019,2024-08-01,269.35,282.6
P0019,2024-09-01,269.35,278.68
P0019,2024-10-01,269.35,278.67
P0019,2024-11-01,269.35,272.11
P0019,2024-12-01,269.35,290.46
P0019,2025-01-01,269.35,290.65
P0019,2025-02-01,269.35,265.49
P0019,2025-03-01,269.35,266.97
P0019,2025-04-01,269.35,289.64
P0019,2025-05-01,269.35,288.34
P0019,2025-06-01,269.35,272.33
P0019,2025-07-01,269.35,277.43
P0019,2025-08-01,269.35,288.14
P0019,2025-09-01,269.35,291.12
P0019,2025-10-01,269.35,279.63
P0019,2025-11-01,269.35,270.24
P0019,2025-12-01,269.35,270.08
P0020,2024-01-01,586.33,619.95
P0020,2024-02-01,586.33,651.65
P0020,2024-03-01,586.33,628.43
P0020,2024-04-01,586.33,640.85
P0020,2024-05-01,586.33,655.68
P0020,2024-06-01,586.33,613.67
P0020,2024-07-01,586.33,648.62
P0020,2024-08-01,586.33,621.85
P0020,2024-09-01,586.33,634.77
P0020,2024-10-01,586.33,623.04
P0020,2024-11-01,586.33,606.64
P0020,2024-12-01,586.33,626.62
P0020,2025-01-01,586.33,610.76
P0020,2025-02-01,586.33,616.03
P0020,2025-03-01,586.33,644.15
P0020,2025-04-01,586.33,649.65
P0020,2025-05-01,586.33,608.9
P0020,2025-06-01,586.33,617.14
P0020,2025-07-01,586.33,630.59
P0020,2025-08-01,586.33,649.1
P0020,2025-09-01,586.33,654.23
P0020,2025-10-01,586.33,646.27
P0020,2025-11-01,586.33,661.61
P0020,2025-12-01,586.33,619.11
P0021,2024-01-01,116.9,135.22
P0021,2024-02-01,116.9,131.29
P0021,2024-03-01,116.9,129.1
P0021,2024-04-01,116.9,133.44
P0021,2024-05-01,116.9,126.84
P0021,2024-06-01,116.9,135.4
P0021,2024-07-01,116.9,129.95
P0021,2024-08-01,116.9,127.59
P0021,2024-09-01,116.9,129.93
P0021,2024-10-01,116.9,127.31
P0021,2024-11-01,116.9,133.37
P0021,2024-12-01,116.9,129.95
P0021,2025-01-01,116.9,129.22
P0021,2025-02-01,116.9,133.36
P0021,2025-03-01,116.9,131.73
P0021,2025-04-01,116.9,130.31
P0021,2025-05-01,116.9,128.4
P0021,2025-06-01,116.9,127.71
P0021,2025-07-01,116.9,133.37
P0021,2025-08-01,116.9,133.51
P0021,2025-09-01,116.9,129.36
P0021,2025-10-01,116.9,137.09
P0021,2025-11-01,116.9,133.22
P0021,2025-12-01,116.9,130.83
P0022,2024-01-01,43.71,41.32
P0022,2024-02-01,43.71,38.8
P0022,2024-03-01,43.71,40.17
P0022,2024-04-01,43.71,40.57
P0022,2024-05-01,43.71,40.09
P0022,2024-06-01,43.71,38.11
P0022,2024-07-01,43.71,39.37
P0022,2024-08-01,43.71,40.23
P0022,2024-09-01,43.71,39.71
P0022,2024-10-01,43.71,38.41
P0022,2024-11-01,43.71,38.15
P0022,2024-12-01,43.71,41.65
P0022,2025-01-01,43.71,39.19
P0022,2025-02-01,43.71,38.05
P0022,2025-03-01,43.71,37.92
P0022,2025-04-01,43.71,39.54
P0022,2025-05-01,43.71,39.34
P0022,2025-06-01,43.71,41.45
P0022,2025-07-01,43.71,37.78
P0022,2025-08-01,43.71,40.4
P0022,2025-09-01,43.71,40.27
P0022,2025-10-01,43.71,40.23
P0022,2025-11-01,43.71,41.03
P0022,2025-12-01,43.71,39.03
P0023,2024-01-01,231.08,235.28
P0023,2024-02-01,231.08,230.76
P0023,2024-03-01,231.08,230.7
P0023,2024-04-01,231.08,229.76
P0023,2024-05-01,231.08,217.2
P0023,2024-06-01,231.08,236.88
P0023,2024-07-01,231.08,238.84
P0023,2024-08-01,231.08,228.17
P0023,2024-09-01,231.08,227.68
P0023,2024-10-01,231.08,227.9
P0023,2024-11-01,231.08,227.35
P0023,2024-12-01,231.08,236.04
P0023,2025-01-01,231.08,237.48
P0023,2025-02-01,231.08,222.32
P0023,2025-03-01,231.08,240.0
P0023,2025-04-01,231.08,232.68
P0023,2025-05-01,231.08,219.49
P0023,2025-06-01,231.08,231.93
P0023,2025-07-01,231.08,226.18
P0023,2025-08-01,231.08,231.33
P0023,2025-09-01,231.08,226.87
P0023,2025-10-01,231.08,230.44
P0023,2025-11-01,231.08,224.12
P0023,2025-12-01,231.08,235.56
P0024,2024-01-01,275.28,309.66
P0024,2024-02-01,275.28,300.59
P0024,2024-03-01,275.28,308.76
P0024,2024-04-01,275.28,293.46
P0024,2024-05-01,275.28,292.97
P0024,2024-06-01,275.28,295.19
P0024,2024-07-01,275.28,303.49
P0024,2024-08-01,275.28,292.87
P0024,2024-09-01,275.28,285.54
P0024,2024-10-01,275.28,296.59
P0024,2024-11-01,275.28,301.51
P0024,2024-12-01,275.28,286.14
P0024,2025-01-01,275.28,302.05
P0024,2025-02-01,275.28,306.75
P0024,2025-03-01,275.28,297.88
P0024,2025-04-01,275.28,283.49
P0024,2025-05-01,275.28,307.93
P0024,2025-06-01,275.28,308.14
P0024,2025-07-01,275.28,307.26
P0024,2025-08-01,275.28,308.99
P0024,2025-09-01,275.28,303.9
P0024,2025-10-01,275.28,293.05
P0024,2025-11-01,275.28,301.09
P0024,2025-12-01,275.28,309.34
P0025,2024-01-01,471.5,500.16
P0025,2024-02-01,471.5,501.17
P0025,2024-03-01,471.5,531.02
P0025,2024-04-01,471.5,528.64
P0025,2024-05-01,471.5,510.43
P0025,2024-06-01,471.5,494.17
P0025,2024-07-01,471.5,496.01
P0025,2024-08-01,471.5,499.33
P0025,2024-09-01,471.5,535.7
P0025,2024-10-01,471.5,534.41
P0025,2024-11-01,471.5,507.65
P0025,2024-12-01,471.5,509.92
P0025,2025-01-01,471.5,497.51
P0025,2025-02-01,471.5,502.9
P0025,2025-03-01,471.5,496.29
P0025,2025-04-01,471.5,533.56
P0025,2025-05-01,471.5,535.7
P0025,2025-06-01,471.5,499.89
P0025,2025-07-01,471.5,534.79
P0025,2025-08-01,471.5,534.41
P0025,2025-09-01,471.5,506.31
P0025,2025-10-01,471.5,494.5
P0025,2025-11-01,471.5,492.6
P0025,2025-12-01,471.5,493.09
P0026,2024-01-01,824.6,753.54
P0026,2024-02-01,824.6,763.33
P0026,2024-03-01,824.6,737.55
P0026,2024-04-01,824.6,744.65
P0026,2024-05-01,824.6,775.82
P0026,2024-06-01,824.6,749.34
P0026,2024-07-01,824.6,787.32
P0026,2024-08-01,824.6,755.44
P0026,2024-09-01,824.6,733.02
P0026,2024-10-01,824.6,709.89
P0026,2024-11-01,824.6,740.55
P0026,2024-12-01,824.6,707.32
P0026,2025-01-01,824.6,759.0
P0026,2025-02-01,824.6,769.84
P0026,2025-03-01,824.6,787.06
P0026,2025-04-01,824.6,739.95
P0026,2025-05-01,824.6,788.07
P0026,2025-06-01,824.6,707.6
P0026,2025-07-01,824.6,749.77
P0026,2025-08-01,824.6,724.83
P0026,2025-09-01,824.6,776.78
P0026,2025-10-01,824.6,734.25
P0026,2025-11-01,824.6,728.3
P0026,2025-12-01,824.6,728.33
P0027,2024-01-01,799.48,781.98
P0027,2024-02-01,799.48,779.71
P0027,2024-03-01,799.48,806.87
P0027,2024-04-01,799.48,748.44
P0027,2024-05-01,799.48,771.73
P0027,2024-06-01,799.48,737.74
P0027,2024-07-01,799.48,775.28
P0027,2024-08-01,799.48,756.87
P0027,2024-09-01,799.48,757.81
P0027,2024-10-01,799.48,796.68
P0027,2024-11-01,799.48,741.08
P0027,2024-12-01,799.48,746.51
P0027,2025-01-01,799.48,780.88
P0027,2025-02-01,799.48,796.07
P0027,2025-03-01,799.48,783.85
P0027,2025-04-01,799.48,798.38
P0027,2025-05-01,799.48,783.07
P0027,2025-06-01,799.48,764.88
P0027,2025-07-01,799.48,773.05
P0027,2025-08-01,799.48,755.69
P0027,2025-09-01,799.48,805.37
P0027,2025-10-01,799.48,763.02
P0027,2025-11-01,799.48,782.24
P0027,2025-12-01,799.48,762.39
P0028,2024-01-01,514.25,470.73
P0028,2024-02-01,514.25,455.2
P0028,2024-03-01,514.25,430.1
P0028,2024-04-01,514.25,456.79
P0028,2024-05-01,514.25,425.93
P0028,2024-06-01,514.25,468.14
P0028,2024-07-01,514.25,429.84
P0028,2024-08-01,514.25,425.9
P0028,2024-09-01,514.25,467.39
P0028,2024-10-01,514.25,442.51
P0028,2024-11-01,514.25,435.87
P0028,2024-12-01,514.25,468.85
P0028,2025-01-01,514.25,427.97
P0028,2025-02-01,514.25,445.59
P0028,2025-03-01,514.25,450.42
P0028,2025-04-01,514.25,466.52
P0028,2025-05-01,514.25,470.59
P0028,2025-06-01,514.25,425.3
P0028,2025-07-01,514.25,434.75
P0028,2025-08-01,514.25,467.71
P0028,2025-09-01,514.25,433.6
P0028,2025-10-01,514.25,471.34
P0028,2025-11-01,514.25,441.94
P0028,2025-12-01,514.25,431.02
P0029,2024-01-01,88.89,73.46
P0029,2024-02-01,88.89,78.62
P0029,2024-03-01,88.89,72.19
P0029,2024-04-01,88.89,77.29
P0029,2024-05-01,88.89,76.42
P0029,2024-06-01,88.89,73.31
P0029,2024-07-01,88.89,78.03
P0029,2024-08-01,88.89,72.24
P0029,2024-09-01,88.89,73.81
P0029,2024-10-01,88.89,79.14
P0029,2024-11-01,88.89,78.26
P0029,2024-12-01,88.89,78.23
P0029,2025-01-01,88.89,79.62
P0029,2025-02-01,88.89,78.22
P0029,2025-03-01,88.89,71.89
P0029,2025-04-01,88.89,79.81
P0029,2025-05-01,88.89,75.47
P0029,2025-06-01,88.89,78.58
P0029,2025-07-01,88.89,73.0
P0029,2025-08-01,88.89,71.91
P0029,2025-09-01,88.89,75.99
P0029,2025-10-01,88.89,73.46
P0029,2025-11-01,88.89,74.02
P0029,2025-12-01,88.89,72.98
P0030,2024-01-01,52.76,52.52
P0030,2024-02-01,52.76,55.42
P0030,2024-03-01,52.76,56.26
P0030,2024-04-01,52.76,54.5
P0030,2024-05-01,52.76,56.92
P0030,2024-06-01,52.76,54.0
P0030,2024-07-01,52.76,54.44
P0030,2024-08-01,52.76,52.54
P0030,2024-09-01,52.76,52.37
P0030,2024-10-01,52.76,56.93
P0030,2024-11-01,52.76,53.67
P0030,2024-12-01,52.76,55.18
P0030,2025-01-01,52.76,52.94
P0030,2025-02-01,52.76,55.54
P0030,2025-03-01,52.76,52.41
P0030,2025-04-01,52.76,53.98
P0030,2025-05-01,52.76,54.93
P0030,2025-06-01,52.76,56.35
P0030,2025-07-01,52.76,56.45
P0030,2025-08-01,52.76,52.98
P0030,2025-09-01,52.76,56.77
P0030,2025-10-01,52.76,53.3
P0030,2025-11-01,52.76,55.9
P0030,2025-12-01,52.76,55.67
P0031,2024-01-01,339.55,339.26
P0031,2024-02-01,339.55,338.36
P0031,2024-03-01,339.55,338.33
P0031,2024-04-01,339.55,326.31
P0031,2024-05-01,339.55,321.99
P0031,2024-06-01,339.55,324.32
P0031,2024-07-01,339.55,338.5
P0031,2024-08-01,339.55,337.99
P0031,2024-09-01,339.55,343.22
P0031,2024-10-01,339.55,348.57
P0031,2024-11-01,339.55,328.76
P0031,2024-12-01,339.55,325.43
P0031,2025-01-01,339.55,334.58
